name,address,type
Little Angels' Closet,Old Forge,Children's clothing store
Vintage Vogue,Pittston,Clothing store
home connection,Pittston,Clothing store
Boden,Pittston,Clothing store
Scents And More,,Women's clothing store
TJMAXX,Pittston,Work clothes store
Gypsy Angel Row,Pittston,Vintage clothing store
Well Heeled Boutique,Moosic,Shoe store
The Eclectic Contessa,Exeter,Vintage clothing store
Torrid,Moosic,Plus size clothing store
Small Frye's Boutique,Scranton,Children's clothing store
Christopher & Banks,Moosic,Department store
My TDH Styles,Wyoming,Clothing store
Lane Bryant,Moosic,Plus size clothing store
J.Crew Factory,Moosic,Clothing store
Talbots,Moosic,Women's clothing store
J.Jill,Moosic,Women's clothing store
New York & Company,Moosic,Women's clothing store
Cacique,Moosic,Women's clothing store
Jos. A. Bank,Moosic,Men's clothing store
The Children's Place,Moosic,Children's clothing store
LOFT,Moosic,Women's clothing store
8th Street Laundry,Wyoming,Clothing store
OshKosh B'gosh,Moosic,Children's clothing store
Chico's,Moosic,Clothing store
American Eagle Store,Moosic,Clothing store
The Queen's Forte,,Women's clothing store
Refind living@ The Regina House Tea Room,Moosic,Clothing store
Carter's,Moosic,Children's clothing store
Mad Tee's,Dupont,Clothing store
Duchess Outlet,Pittston,Department store
Freedlove,Scranton,Women's clothing store
Horror house,,Clothing store
Boscov's,Scranton,Clothing store
New Laundry,Scranton,Women's clothing store
Calvin Clothing Co,Scranton,Clothing store
Burlap and Bourbon,Scranton,Men's clothing store
Mena_wear718,,Clothing store
Gabe's,Wilkes-Barre,Discount store
Cloth & Needle Creations,,Women's clothing store
Dezignated Hittaz,,Clothing store
L'Erin,Scranton,Women's clothing store
Uni-Mart,Duryea,Convenience store
Maurices,Wilkes-Barre Township,Women's clothing store
Tuck's Army & Navy Clothing,Scranton,Army & navy surplus shop
Marshalls,Wilkes-Barre Township,Clothing store
7 For All Mankind,Scranton,Clothing store
Ross Dress for Less,Wilkes-Barre Township,Clothing store
Concorde Apparel Co LLC,Scranton,Men's clothing store
Catherines,Wilkes-Barre Township,Plus size clothing store
Sikadelixx Streetwear,,Clothing store
Family Dollar,Old Forge,Clothing store
Pierre's,Scranton,Women's clothing store
Pop it! Jackets and Accessories,Scranton,Women's clothing store
Macy's,Wilkes-Barre,Department store
Torrid,Wilkes-Barre Township,Plus size clothing store
Tuxedo by Sarno,Pittston,Tuxedo shop
No Question,Scranton,Clothing store
Rain Tree,Scranton,Clothing store
Godfather's Sportswear,Old Forge,Promotional products supplier
Weis Markets,Duryea,Grocery store
Lil swavey,,Clothing store
Ubu Clothing,Forty Fort,Clothing store
Old Navy,Wilkes-Barre Township,Clothing store
Rumor Has It Mens,Luzerne,Clothing store
Boscov's,Wilkes-Barre,Clothing store
Boxwood Menswear,,Clothing store
Plato's Closet Dickson City,Dickson City,Clothing store
Style Encore,Dickson City,Women's clothing store
JCPenney,Scranton,Clothing store
Hollister Co.,Wilkes-Barre Township,Clothing store
Nana's Closet,Dunmore,Children's clothing store
Sta-Right Fusing Inc,Duryea,Women's clothing store
De Francesco A Bank,Pittston,Men's clothing store
rue21,Scranton,Clothing store
WEXIST INC,,Women's clothing store
Bella Bunnyrella - Boutique & Party,Scranton,Clothing store
Kranson Uniform,Wilkes-Barre Township,Uniform store
Target,Wilkes-Barre Township,Clothing store
This Life Apparel,,Custom t-shirt store
Target,Wilkes-Barre Township,Department store
Suburban Casuals,832 Scranton Carbondale Hwy,Clothing store
T.J. Maxx,461 Arena Hub Plaza,Clothing store
T.J. Maxx,650 Commerce Blvd,Clothing store
Walgreens,2100 N Twp Blvd,Drug store
Kranson Clothes Inc.,145 Mundy St,Men's clothing store
JCPenney,34 Wyoming Valley Mall,Clothing store
H&M,29 Wyoming Valley Mall Unit #0224,Clothing store
Tiny Trends,86 Main St,Children's clothing store
Julia & Suzanne's,945 Wyoming Ave,Baby store
Old Navy,100 Viewmont Mall,Clothing store
Hopscotch Children's Apparel,1819 Sanderson Ave,Children's clothing store
Zumiez,29 Wyoming Valley Mall Space 101 / 2,Clothing store
Kathy Karen Children's Shop,201 E Drinker St,Children's clothing store
Marshalls,1118 Commerce Blvd,Clothing store
Express,29 Wyoming Valley Mall,Clothing store
Sydney's Fashion Boutique,227 Main Ave,Women's clothing store
Justice,48 Wyoming Valley Mall Space 328,Children's clothing store
The Haberdashery,900 Rutter Ave,Men's clothing store
Men's Wearhouse,415 Arena Hub Plaza,Men's clothing store
Once Upon A Child - Dickson City,1015 Commerce Blvd,Children's clothing store
