name,address,type
B Street 104 Restaurant & Pub,104 E Baltimore St,Restaurant
Home Style Family Restaurant,26 N Antrim Way,Family-friendly
Pure and Simple Cafe,164 E Baltimore St,Health Food
El Sombrero,25 W Franklin St,Mexican
John Allison Public House,155 S Antrim Way,Grill
Sora Sushi Asian Cuisine,510 N Antrim Way,Sushi
Mi Tierra Linda,504 N Antrim Way,Mexican
The Cafe at Antrim Way,200 S Antrim Way,Restaurant
Tony's New York Pizza,42 S Antrim Way,Pizza
Sunnyway Diner,140 N Antrim Way,Diner
Hardee's,30 S Antrim Way,Fast Food
Country Pride,10835 John Wayne Dr,Restaurant
Domino's Pizza,530 N Antrim Way,Pizza Delivery
Mikie's Ice Cream & Green Cow,179 S Antrim Way,Ice Cream
Taco Bell,10820 John Wayne Dr,Fast Food
Pizza Hut,152 S Antrim Way,Pizza
Subway,10830 John Wayne Dr,Sandwich
McDonald's,721 Buchanan Trail E,Fast Food
Fireside Pub,2000 Castlegreen Dr,Grill
Burger King,771 Buchanan Trail E,Fast Food
Los Amigos Mexican Restaurant,29 N Burhans Blvd,Restaurant
Dunkin',705 E Baltimore St,Coffee shop
Mrs. Gibble's Restaurant and Candies,7325 Molly Pitcher Hwy,Family-friendly
Lizzy's,2753 Buchanan Trail W,Restaurant
Brother's Pizza Greencastle,50 Pine Dr,Pizza
Hong Kong Chinese Restaurant,2 Center Square,Rice restaurant
Il Castello Ristorante & Pizzeria,15731 Pennsylvania Ave N,Pizza
Vinnie's on 11,5210 Molly Pitcher Hwy,Pizza
Sheetz #451,11104 Grindstone Hill Rd,Restaurant
Hoffmans All American Grill,18203 Mason Dixon Rd,American
Sheetz #553,45 Antrim Commons Dr,Restaurant
The Waynesburger,100 W Main St,Hamburger
