name,address,type
Warehime Myers Mansion,305 Baltimore St,Museum
Hanover Heritage and Conference Center,22 Carlisle St,Museum
George Nace House,103 W Chestnut St,Historical place museum
Eichelberger High School,195 Stock St,Historical place museum
Wild Murphy's,190-198 E Walnut St,Museum
National Apple Museum,154 W Hanover St,Museum
Spencer's Museum of Money,408 Hanover St,Museum
Warehime Myers Mansion,305 Baltimore St,Museum
Hanover Heritage and Conference Center,22 Carlisle St,Museum
George Nace House,103 W Chestnut St,Historical place museum
Eichelberger High School,195 Stock St,Historical place museum
Wild Murphy's,190-198 E Walnut St,Museum
National Apple Museum,154 W Hanover St,Museum
Spencer's Museum of Money,408 Hanover St,Museum
The National Civil War Museum,Harrisburg,History museum
Susquehanna Art Museum,Harrisburg,Art museum
Pennsylvania National Fire Museum,Harrisburg,Museum
Triple Trade Construction,,Museum
Indian Steps Museum,Airville,Museum
Planted in Play,Mechanicsburg,Children's museum
First National Bank Museum,Columbia,Historical place museum
Railroad Museum of Pennsylvania,Ronks,Rail museum
National Watch and Clock Museum,Columbia,Museum
Mister Ed's Elephant Museum & Candy Emporium,Orrtanna,Museum
"Hands-on House, Children's Museum of Lancaster",Lancaster,Children's museum
AACA Museum,Hershey,Local history museum
Joe Palooka Monument,,Museum
The Union Mills Homestead,Westminster,Museum
Carroll County Farm Museum,Westminster,Open air museum
The Hershey Story Museum,Hershey,Museum
North Museum of Nature and Science,Lancaster,Science museum
Landis Valley Village & Farm Museum,Lancaster,Historical place museum
The Museum of Bus Transportation,Hershey,Museum
Lititz Historical Foundation,Lititz,History museum
The National Civil War Museum,Harrisburg,History museum
Susquehanna Art Museum,Harrisburg,Art museum
Pennsylvania National Fire Museum,Harrisburg,Museum
Triple Trade Construction,,Museum
Indian Steps Museum,Airville,Museum
Planted in Play,Mechanicsburg,Children's museum
Ephrata Cloister,Ephrata,History museum
Brandywine River Museum of Art,Chadds Ford,Art museum
Rockhill Trolley Museum,Rockhill,Rail museum
Whistle Stop Shop at Railroad Museum of Pennsylvania,Strasburg,Museum
Roadside America,Shartlesville,History museum
Pennsylvania Military Museum,Boalsburg,History museum
The Original Playhouse Children's Museum,New Market,Children's museum
The Franklin Institute,Philadelphia,Science museum
Broad Top Area Coal Miners Museum,Robertsdale,Museum
Reading Railroad Heritage Museum,Hamburg,Rail museum
Penn Museum,Philadelphia,Museum
Springs Museum,Springs,Museum
National Electronics Museum,Linthicum Heights,Museum
Fire Museum of Maryland,Lutherville-Timonium,Museum
Railroaders Memorial Museum,Altoona,Rail museum
Rodin Museum,Philadelphia,Sculpture museum
Please Touch Museum,Philadelphia,Children's museum
Whitaker Center for Science and the Arts,Harrisburg,Performing arts theater
Stop Drop and Play Children's Museum,Damascus,Children's museum
The Academy of Natural Sciences of Drexel University,Philadelphia,Natural history museum
The Mütter Museum at The College of Physicians of Philadelphia,Philadelphia,Museum
Allentown Art Museum,Allentown,Art museum
Lehigh Valley Heritage Museum,Allentown,Museum
Matson Museum of Anthropology,University Park,Museum
Michener Art Museum,Doylestown,Museum
Discovery Station At Hagerstown Inc,Hagerstown,Museum
Sigal Museum and Northampton County Historical and Genealogical Society,Easton,History museum
Da Vinci Science Center,Allentown,Science museum
Museum of the American Revolution,Philadelphia,History museum
Pennsylvania Academy of the Fine Arts,Philadelphia,Museum
Maryland Science Center,Baltimore,Science museum
Eckley Miners' Village,Weatherly,History museum
Gallitzin Tunnels,Gallitzin,Rail museum
Frost Entomological Museum,State College,Natural history museum
