name,address,type
Four Seasons Salon,1100 Moore St,Beauty salon
In Style Styling Salon,514 Penn St,Beauty salon
Stylin Hair & Nail Salon,915 Mifflin St,Beauty salon
R. Dell's Design Team,617 Washington St,Hair salon
Designers Edge Hair and Nails,911 Moore St,Beauty salon
Hair Den By Cammy & Sharon,,Beauty salon
Brenda's Salon,815 14th St,Beauty salon
La Flaire Hair Styling,415 10th St,Beauty salon
Hair Saloon,715 Washington St,Beauty salon
# 1 Nails,7547 Huntingdon Plaza,Nail salon
Nail Expressions By Ann,50 Oneida Heights,Nail salon
Deb's Beck & Call,717 Washington St,Nail salon
Neatly Trimmed,617 Washington St,Hair salon
Zoe’s Nails,212 5th St,Nail salon
It's All About You,9002 William Penn Hwy,Beauty salon
SmartStyle Hair Salon,6716 Towne Center Blvd Located Inside Walmart #5470,Beauty salon
Holiday Hair,6682 Towne Center Blvd,Beauty salon
Shear Impressions,11941 William Penn Hwy,Beauty salon
REVIVE Salon LLC,508 Penn St,Hair salon
Desert Garden Day Spa,308 5th St,Day spa
Hair Dock,7 Randall St,Beauty salon
Salon B Studio,1001 Moore St,Hair salon
Rhonda Dell's Hair Salon,10262 Wall St,Beauty salon
Smokey's Hair Salon,54 E Pennsylvania Ave,Beauty salon
Tanning Place,915 Mifflin St,Tanning salon
Nicolee's Beauty Salon,1380 Decker Hollow Rd,Beauty salon
Designers Edge,911 Moore St,Ear piercing service
A Simple Escape,313 4th St,Massage therapist
Bethany Shoemaker's Hair Salon,776 US-522,Hair salon
Hairspray Kreations Saxton,615 Main St,Beauty salon
Isenberg Jamie,313 4th St,Massage therapist
SmartStyle Hair Salon,2600 Plank Rd,Beauty salon
Mel's Country Barber Shop,9048 William Penn Hwy suite 12,Barber shop
Viva Bella Salon LLC,101 S Fraser St,Beauty salon
Making Waves Hair Salon,210 E Plank Rd,Hair salon
Great Clips,2722 Plank Rd,Beauty salon
HairbySara,,Hair salon
Hello Beautiful Salon,8800 Barnes Lake Rd #500,Beauty salon
Great Clips,1890 N Atherton St,Beauty salon
M T Nails,46 Supercenter Plaza Dr # F,Nail salon
Martin's Barber School,Huntingdon,Barber school
Great Clips,Shippensburg,Beauty salon
Synergy Salon & Day Spa,Irwin,Beauty salon
Tina Hartman's Therapeutic Massage,,Beauty salon
Great Clips,North Huntingdon,Beauty salon
Gioacchino's Unisex Salon,Irwin,Beauty salon
Mactown Barber Shop,Huntingdon,Barber shop
Great Clips,Carlisle,Beauty salon
SmartStyle Hair Salon,North Huntingdon,Beauty salon
Regis Salon,Irwin,Beauty salon
ABL Beauty Lounge,North Huntingdon,Beauty salon
Glam & Grace,,Beauty salon
K & S Nail Salon,,Nail salon
Walmart Pharmacy,Huntingdon,Pharmacy
Ella Nail Spa,Irwin,Nail salon
Supercuts,Irwin,Hair salon
Eccentrix Hair Creations,Irwin,Beauty salon
T_TheQueenofEverything MakeUp Artistry,,Beauty salon
Kennedy Sports & Recreation Center,Huntingdon,Gym
D. Michael Salon,Irwin,Beauty salon
New Image Hair Clinic,North Huntingdon,Beauty salon
Lashes By Alex,,Beauty salon
Great Clips,Mechanicsburg,Beauty salon
Sky Nails,North Huntingdon,Nail salon
Artemis Massage Studio,State College,Massage therapist
UPMC Huntingdon Family Physicians,Huntingdon,Doctor
Hair Attitudes,Irwin,Beauty salon
Pediatrics Care Center,Huntingdon,Doctor
"Wise Eyes Optical - Huntingdon, PA",Huntingdon,Optician
Headliners Studio,Irwin,Beauty salon
HHWA & THE HUNTINGDON HEALTH AND WELLNESS,Huntingdon,Wellness center
Head Shed,Irwin,Beauty salon
Styles By Santone,Irwin,Hair salon
Walmart Vision & Glasses,Huntingdon,Optician
Lani’s Hair Braiding,,Hair salon
T's Nails & Spa,North Huntingdon,Nail salon
Salon Moda Huntingdon Valley,Huntingdon Valley,Beauty salon
