name,address,type
Theos Metro,596 Mercer Ave,Restaurant
Kevin's Bar & Restaurant,247 Wyoming Ave,American
Lino's Quality Pizza,651 Wyoming Ave,Pizza
Julie's Cozy Cafe,95 W Chestnut St,Family-friendly
Sizzle Pi Pizza,366 Pierce St,Pizza
Whitehouse Diner,105 Welles St,Diner
The Atrium,613 S J Strauss Ln,American
Bistro on the Avenue,174 United Penn Plaza,Restaurant
Brother Joe’s Hoagie Shop,22 1/2 E Union St,Hoagies
Keeley's,199 Division St,Grill
Sweet Treet,230 Wyoming Ave,Breakfast
Pierce Street Deli,517 Pierce St,Restaurant
Canteen900 at Canteen Park,181 Market St,American
Budd's Pizza Cafe,134 Page Ave,Pizza
Kingston Kosher Pizza,17 2nd Ave,Kosher
Peking Chef,184 S Wyoming Ave,Chinese
Tommy's Pizza Corner,619 Market St,Pizza
Ollie's Restaurant,84 S Wyoming Ave,American
KJ's Pickle Barrel,355 Market St #3a,Sandwich
Andy Perugino's Restaurant,258 Charles St,Italian
Beijing Chinese Restaurant,752 Wyoming Ave,Chinese
Rush Inn,220 Zerby Ave,Grill
River Grille,670 N River St,Grill
Abe's Hot Dogs,780 Wyoming Ave,Hot Dog
Pizza Bella - Forty Fort,980 Wyoming Ave,Pizza
Cork Bar & Restaurant,463 Madison St,New American
Antonio's Pizza Deluxe,3 Narrows Shopping Center,Pizza
Canteen Park,181 Market St,Restaurant
Taco Bell,110 S Wyoming Ave,Fast Food
Kingza Asian Cuisine,481 Market St,Japanese
Leonardo's Stop & Go,385 Main St,Pizza
Arby's,510 Pierce St,Fast Food
Mr. P's Potato Pancakes,239 Schuyler Ave,Restaurant
Chic Chic Marketplace,970 Wyoming Ave #3937,Market
Antonio's Pizza,405 N River St,Pizza
Revellos Pizza,,Pizza
Goldstein's Delicatessen,200 Pierce St,Restaurant
Cafe Toscana,1 Public Square,Tuscan
SIX,386 Wyoming Ave,Restaurant
Grotto Pizza,36 Gateway Shopping Center,Pizza
Beijing Chinese Restaurant,752 Wyoming Ave,Chinese
Rush Inn,220 Zerby Ave,Grill
River Grille,670 N River St,Grill
Abe's Hot Dogs,780 Wyoming Ave,Hot Dog
Pizza Bella - Forty Fort,980 Wyoming Ave,Pizza
Cork Bar & Restaurant,463 Madison St,New American
Antonio's Pizza Deluxe,3 Narrows Shopping Center,Pizza
Canteen Park,181 Market St,Restaurant
Taco Bell,110 S Wyoming Ave,Fast Food
Kingza Asian Cuisine,481 Market St,Japanese
Leonardo's Stop & Go,385 Main St,Pizza
Leary's Kork and Keg,199 Division St,Restaurant
Pizza Heaven,352 Bennett St,Pizza
Nucleus Raw Foods,63 Main St,Vegan
Rita's Italian Ice & Frozen Custard,355 Market St,Ice Cream
No 1 Chinese Restaurant,16 Gateway Shopping Center,Chinese
Thai Thai,41 S Main St,Thai
Domino's Pizza,515 Market St,Pizza Delivery
Patte's,65 W Hollenback Ave,Restaurant
Vault Grill & Bar Steakhouse,24 W Market St,Steak
Crown Fried Chicken kingston pa,101 S Wyoming Ave,Restaurant
Teberio's Pizza,599 Union St #1246,Pizza
Le Manhattan Bistro,268 S Main St,French
Wendy's,55 S Wyoming Ave,Fast Food
Chuck's Main St. Diner,164 Main St,Diner
Lemon Drop Cafe,488 Church St,Lunch
Rodano's,53 Public Square,American
golden star,360 N River St,Chinese
Sal's Pizza Subs & More,1634 Wyoming Ave,Pizza
Vesuvio's,111 N Main St,Pizza
McDonald's,80 S Wyoming Ave,Fast Food
Gerry's Pizzeria,496 Carey Ave,Pizza
Center City Cafe,2 Public Square # 125,American
The Potato Pancake Shack,27 Wilson St,Ethnic restaurant
S & W,149 N Main St,Diner
Hoagie Mikes,787 Main St,Restaurant
Savoy Pizzeria,131 E Luzerne Ave,Pizza
Anthracite Cafe',804 Scott St,American
Abe's Hot Dogs,419 S Main St,Hot Dog
İstanbul grill,40 S Main St,Turkish
King of Kings Gyros on Public Square,37 Public Square,Greek
Buona Sera,1287 N Washington St,Italian
Knuckleheads,244 Hughes St,Grill
Bingo's Hoagies,503 Slocum St,Hoagies
Murphy's Pub,347 Slocum St,Irish pub
Benny's,91 Shoemaker St,Restaurant
El Zocalo,21 Public Square,Mexican
River Street Jazz Cafe,667 N River St,Restaurant
McDonald's,674 N River St,Fast Food
Long John Silver's,40 S Wyoming Ave,Fast Food
The Grille,588 Union St,American
Litte Bella's Pizzeria and Restaurant,530 N Main St,Pizza
The Fort Cafe Pizza,1512 Wyoming Ave,Pizza
El Rey Azteca Mexican Restaurant,681 Kidder St,Mexican
La Tolteca Mexican Restaurant,200 Mundy St,Mexican
Chick-fil-A,20 Public Square,Fast Food
Serpico Pizza,"230 E End, Center St",Restaurant
Dukey's Cafe,785 N Pennsylvania Ave,Restaurant
TGI Fridays,880 Kidder St,Restaurant
Thai House Restaurant,8a Gateway Shopping Center,Thai
Flaherty's Eating and Drinking Establishment,277 Zerby Ave,Bar
PrimoHoagies,33 Narrows Shopping Center B,Sandwich
Parsons Friends and Family Restaurant,15 N River St,Family-friendly
Florio's Pizza,107 W Carey St,Pizza
Golden Star,610 Union St,Chinese Takeout
Norm's Pizza & Eatery,275 N Sherman St,Pizza
Fat Daddy's Bar & Grill,174 Main St,Grill
Pronto Pizzeria,16 S Main St,Pizza
Chacko's Memory Lane Lounge,195 North Wilkes-Barre Boulevard,Grill
Oyster Restaurant,77 E Market St,Steak
City Market and Cafe,25 Public Square,Restaurant
Margarita Azul,91 Parrish St,Mexican
C J's Pizza & Subs,54 Spring St,Pizza
Tang's Asian Cuisine,302 Wilkes Barre Township Blvd,Japanese
Wendy's,359 Kidder St,Fast Food
Breaker Brewing Company,787 E Northampton St,Brewery
The Main Bean,161 Main St #200,Coffee shop
Taco Bell,426 Kidder St,Fast Food
Riverside Cafe,187 Old River Rd,Grill
Dunkin',1318 Wyoming Ave,Coffee shop
Flaherty's Eating and Drinking Establishment,277 Zerby Ave,Bar
Great Wall II,19 N River St,Chinese
"Booyah! Burgers and Bites Wyoming, PA",2022 Wyoming Ave,Hamburger
Angelo's Pizzeria,445 Hazle St,Pizza
Halal crown fried chicken,15 E Market St,Fast Food
Amberdonia bakery,26 W Union St,Bakery
Shelley's Pizza,641 Carey Ave,Pizza
Lee-Park Grill,62 Lee Park Ave,American
Letts Eat,78 S Main St,Indian
Philly's Phinest,610 Carey Ave,Pizza
Wah Mei,608 Carey Ave,Chinese
Franco's,198 S Main St,Italian
The Dough Company,570 Kidder St,Pizza
Bettelli's Villa,560 Kidder St,Pizza
O'Nos Bar & Grill,236 Zerby Ave,Bar
Mirakuya Japanese Restaurant,695 Kidder St,Japanese
Nello's Pizza,2238 Wilkes Barre Township Blvd,Pizza
Asian Kitchen,121 S Main St,Chinese
Subway,286 S River St,Sandwich
Dunkin',33A Narrows Shopping Center,Coffee shop
Ferris's Lunch,218 Barney St,Hot Dog
Great Wall II,19 N River St,Chinese
"Booyah! Burgers and Bites Wyoming, PA",2022 Wyoming Ave,Hamburger
KFC,140 Oxford St,Chicken
Applebee's Grill + Bar,253 Wilkes Barre Township Blvd,Restaurant
Grotto Pizza,337 Wyoming Valley Mall,Pizza
The Chicken Coop,165 Wilkes-Barre Blvd,Chicken Wings
Tipsy Turtle Owen Street Pub,245 Owen St,Restaurant
Something Special Croissants,23 W Walnut St,Bakery
Five Guys,280 Mundy St,Hamburger
Dunkin',41 Public Square,Coffee shop
Victory Pig Barbeque,905 Wyoming Ave,Pizza
Cactus Restaurant Mexican grill,683 Carey Ave,Restaurant
Rob's Pub & Grub,232 Nesbitt St,Pizza
Don's Deli,802 Sans Souci Pkwy,Restaurant
Miss Boo and Sons Homestyle Cooking and Catering,160 Barney St,Restaurant
Dunkin',158 S River St,Coffee shop
Isabella,1140 PA-315,Fine Dining
Carey's Pub,147 Division St,Bar
Marianacci's,252 W 8th St,Pizza
Burger King,81 N River St,Fast Food
Hartman Jerk Center,72 S Main St,Jamaican
Whatinthe Sam Hill's Brick Oven Pizza,100 George Ave,Pizza
KFC,140 Oxford St,Chicken
Applebee's Grill + Bar,253 Wilkes Barre Township Blvd,Restaurant
Grotto Pizza,337 Wyoming Valley Mall,Pizza
The Chicken Coop,165 Wilkes-Barre Blvd,Chicken Wings
Tipsy Turtle Owen Street Pub,245 Owen St,Restaurant
Something Special Croissants,23 W Walnut St,Bakery
Five Guys,280 Mundy St,Hamburger
Dunkin',41 Public Square,Coffee shop
Victory Pig Barbeque,905 Wyoming Ave,Pizza
Cactus Restaurant Mexican grill,683 Carey Ave,Restaurant
Rob's Pub & Grub,232 Nesbitt St,Pizza
Don's Deli,802 Sans Souci Pkwy,Restaurant
Miss Boo and Sons Homestyle Cooking and Catering,160 Barney St,Restaurant
Dunkin',158 S River St,Coffee shop
Isabella,1140 PA-315,Fine Dining
Carey's Pub,147 Division St,Bar
Marianacci's,252 W 8th St,Pizza
