name,address,type
Di Salvo's Station,325 McKinley Ave,Italian
Gino Giannilli's Homestyle Pizza Palace,200 Thompson St,Pizza
Hotel Loyal Pizza,615 Ligonier St,Pizza
Falbo's Restaurant & Lounge,603 Unity St,Restaurant
Jioio's Restaurant,6067 PA-981,Italian
The Sugar Shack Pizza & Pastry Shop,6 Garfield Rd,Pizza Takeout
DeCaro's Deli,47 Cedar St,Deli
Aroma Italiano,2220 Ligonier St,Italian
China Garden,1931 Dailey Ave,Chinese
Wano's Pond,2120 Lincoln Ave ste a,Restaurant
Scotty G's Pizzeria,907 Ligonier St,Pizza
Valley Dairy Restaurant,1120 Jefferson St,Family-friendly
Fox's Pizza Den,606 Cedar St,Pizza
Racer's Tavern,2236 Lincoln Ave,Sports bar
Subway,1927 Dailey Ave,Sandwich
Touchdown Club II,3850 US-30,American
Don Patron Mexico Restaurant,1020 Latrobe 30 Plaza Suite 427,Restaurant
French Express,1020 Latrobe 30 Plaza #429,French
Pizza Siena,1038 Latrobe 30 Plaza,Pizza
Valley Dairy Restaurant,229 Colony Ln #400,Family-friendly
Denny's,3870 US-30,Diner
Sharky's Cafe,3960 Lincoln Hwy,American
McDonald's,2014 Lincoln Ave,Fast Food
Michelle’s Lair (formerly Black & Gold Grill),1433 Main St,Grill
Great Wall,314 Unity St,Chinese
Eat'n Park,1026 Mountain Laurel Plaza,American
The Pickled Chef,"1020 Latrobe 30 Shoppes, Suite 427",Restaurant
Dexter'z,501 Avenue B,Restaurant
Carasella's Pizzeria,4462 PA-982,Pizza
Tokyo Sushi & Hibachi,304 Mountain Laurel Plaza,Japanese
Dino's Sports Lounge,3883 US-30,Bar
DeNunzio’s Italian Chophouse & Sinatra Bar (Latrobe),148 Aviation Ln,Italian
Asian Kitchen,2401 Sharky's Drive B,Asian
Arby's,3869 US-30,Fast Food
Dunkin',300 Lloyd Ave,Coffee shop
Chef Dato's Table,645 PA-217,Restaurant
Subway,5793 PA-981,Sandwich
Sheetz #59,2853 Ligonier St,Restaurant
Subway,3590 US-30 West,Sandwich
Palombo's Bar & Restaurant,1085 Industrial Blvd,Italian
Denny's,3870 US-30,Diner
Sharky's Cafe,3960 Lincoln Hwy,American
McDonald's,2014 Lincoln Ave,Fast Food
Michelle’s Lair (formerly Black & Gold Grill),1433 Main St,Grill
Great Wall,314 Unity St,Chinese
Eat'n Park,1026 Mountain Laurel Plaza,American
The Pickled Chef,"1020 Latrobe 30 Shoppes, Suite 427",Restaurant
Dexter'z,501 Avenue B,Restaurant
Carasella's Pizzeria,4462 PA-982,Pizza
Auntie Anne's,100 Colony Ln,Restaurant
Monday's Union Restaurant,454 Marguerite Rd,Pizza
Harbor Inn Restaurant & Lounge,805 Bethel Church Rd,American
Rosemary's Country Kitchen,324 Pittsburgh St,Pizza
Subway,100 Colony Ln,Sandwich
Domino's Pizza,3960 State Route 30 Ste 102,Pizza Delivery
McDonald's,"110 Mount, Laurel Ln",Fast Food
Giannilli's II Restaurant & Lounge,4816 State St #30,Restaurant
Tin Lizzy Restaurant & Tap Room,259 Main St,Restaurant
The Road Toad,2726 US-30,Restaurant
19th Hole Lounge,115 Arnold Palmer Dr,Restaurant
