name,address,type
Angelos II Monongahela,111 3rd St,Italian
Lenzi's Restaurant,228 Gee St,Italian
Ponce's Place,715 Rte 481,Grill
Dettore's Pizza,915 W Main St,Pizza
Eat'n Park,1250 W Main St,American
Italian Village Pizza,169 W Main St,Pizza
Hills Restaurant,107 Main St,Family-friendly
Two And A Fry,1115 W Main St,American
Pho Valley,1160 Country Club Rd,Restaurant
McDonald's,301 W Main St,Fast Food
Blaine Hill BBQ,107 2nd St,Grill
Richard Massafra Foods,1015 Stanton St,Restaurant
Pizza Station,187 Chess St,Delivery Restaurant
Phở Valley | Vietnamese Cuisine,1160 Country Club Rd,Restaurant
The Twist,209 Main St,Diner
Lucchesi's Restaurant,372 Donner Ave,Italian
By George,1 Monongahela St,Restaurant
The Tap Factory,164 Coyle Curtain Rd,Grill
Felicia's Restaurant & Lounge,450 Schoonmaker Ave,Italian
Del Rosa's Pizza,231 Knox Ave,Pizza
APPLIANCE REPAIR WASHINGTON COUNTY PA,880 Rte 481,Restaurant
La Eda's Restaurant,1723 Grand Blvd,Italian
Nuzzaci Pizza Shoppee,483 Knox Ave,Pizza
Rib Cage,87 Boat Club Rd,Bar
Elrama Tavern,1520 PA-837,Grill
Serendipity Tea Room and Cafe,127 Speer St # 6,Restaurant
Lenhart's Tavern LLC,90 PA-88,Grill
The Back Porch Restaurant,114 Speers Ave,American
Pasta Shoppe,509 Donner Ave,Italian
Spartan's Cafe,100 Stoops Dr # 210,Restaurant
Dukes Cafe,506 McKean Ave,Restaurant
Marty's Pizza,642 2nd St,Pizza
River House Cafe,506 McKean Ave,Restaurant
Fourth Street Barbeque,308 4th St,Barbecue
Armando's Pizza,538 Fallowfield Ave,Pizza
Libby's Dairy Bar,1401 Rostraver St,Grill
Unique China,419 McKean Ave,Chinese
Double M's Pizza,372 Pennsylvania Ave,Pizza
Bruno and Son's Diner,100 Stoops Dr #210,Diner
Dairy Queen Grill & Chill,22 PA-88,Fast Food
The Red Caboose,5146 Hayden Blvd,Hot Dog
Sheetz #92,111 E Main St,Restaurant
Speers Street Grill,121 Speer St,American
Eagles Landing II,503 Airport Rd,American
Hilltop Fireman's Club,1545 Grand Blvd,Grill
Maples,409 Old 71,Steak
My Girls,31 McKean Ave,Breakfast
Anthony's Italiano,557 McKean Ave,Italian
MEXI TACO,801 McKean Ave,Mexican
Armando's Pizza,201 Tyrol Blvd,Pizza
The Tree House,820 Broad Ave,Restaurant
Little Bamboo Chinese Restaurant,311 Tri County Lane,Chinese
Roadside Restaurant,4995 PA-51,American
Johnny's Drive-In,PA-837,Hamburger
Brian's Barbecue,3532 Marion Ave,Barbecue
Rockwell's Red Lion Restaurant,201 S 2nd Ave,American
Dairy Queen Grill & Chill,5110 PA-51,Fast Food
Sylvester & Tweetie's,8800 Roberts Hollow Rd,Restaurant
Molnar's Lounge & Restaurant LLC,2550 Hayden Blvd,Grill
Diddlebugs Pizza & Hoagies,1629 Rte 481,Pizza
Old Mexico Mexican Restaurant,125 Sara Way,Mexican
Dairy Queen Grill & Chill,33 Fayette Ave,Fast Food
Great Wall,201 W Main St A,
