name,address,type
Collect76,110 Center St,Comic book store
Bradleys Book Outlet,6945 US-322,Book store
Family Dollar,124 State St,Dollar store
Goodwill,,Thrift store
"Neverending Stories, The Underground Bookstore",1252 Liberty St,Used book store
Dollar General,575 N Seneca St,Dollar store
The Attic,407 E 2nd St,Antique store
Oil City Warehouse Mall,30 Pumphouse Rd,Furniture store
Double Bloom,233 Seneca St,Florist
Family Dollar,809 Grandview Rd,Dollar store
Giant Eagle Supermarket,602 E 2nd St,Grocery store
Smoker Friendly,301 Duncomb St #1471,Tobacco shop
CVS,204 E 2nd St,Drug store
Rite Aid,508 E 2nd St,Drug store
O C Floral Design,301 Duncomb St,Florist
Core Goods,219 Seneca St,Natural goods store
Friedhaber's,14 E 1st St,Appliance store
Route 8 Auto Sales,684 N Seneca St,Used car dealer
Advance Auto Parts,406 E 2nd St,Auto parts store
Oil City Agway,550 Seneca St,Garden center
CVS Pharmacy,204 E 2nd St,Pharmacy
McDonald's,5 Elm St,Fast Food
Ollie's Bargain Outlet,6945 US-322,Book store
CnD's Kids,13 N Gilfillan St,Book store
Fine Wine & Good Spirits,50 Seneca St,State liquor store
Oil City Bridal By Tomorrow's Bridal Finery,214 Center St,Bridal shop
Rite Aid Pharmacy,508 E 2nd St,Pharmacy
Giant Eagle Deli,602 E 2nd St,Deli
Bradley's Book Outlet,1911 Leesburg Grove City Rd,Book store
Fulmer House Books & Collectibles,703 Wood St,Book store
Comic Books 101,101 N Franklin St,Comic book store
"Culligan Water Conditioning of Oil City, PA",425 Seneca St,Water softening equipment supplier
SGA Bookstore,1 111 Robert M. Smith Student Center,Book store
Outback Adventures,247 Outback Adventures Rd,Book store
Dollar General,3958 PA-257,Dollar store
Books-A-Million,101 Clearview Cir,Book store
Quilters Cupboard,3344 PA-257,Quilt shop
Walmart Supercenter,10 Kimberly Ln,Department store
Edinboro University Bookstore,405 Scotland Rd,Book store
Goodwill,767 Allegheny Blvd,Thrift store
Dunham's Sports,Cranberry,Sporting goods store
City Books,Pittsburgh,Used book store
Dollar Tree,Franklin,Dollar store
Barnes & Noble,Cranberry Twp,Book store
Geneva College Bookstore,Beaver Falls,Book store
City of Asylum Bookstore,Pittsburgh,Book store
Liberty Street Antiques,Franklin,Antique store
Books-A-Million,Erie,Book store
Dollar General,Franklin,Dollar store
Books-A-Million,Monaca,Book store
Riverstone Books,Pittsburgh,Book store
CC of Allegheny County North Campus Bookstore,Pittsburgh,Book store
Daffin's Hallmark,Franklin,Gift shop
Penguin Bookshop,Sewickley,Book store
White Whale Bookstore,Pittsburgh,Book store
Pennsylvania Highlands CC Bookstore,Johnstown,Book store
Advance Auto Parts,Franklin,Auto parts store
A. Crivelli Buick-GMC,Reno,Car dealer
CC of Allegheny County Allegheny Campus,Pittsburgh,Book store
Half Price Books,Pittsburgh,Book store
Dunham's Sports,Cranberry,Sporting goods store
City Books,Pittsburgh,Used book store
Dollar Tree,Franklin,Dollar store
Barnes & Noble,Cranberry Twp,Book store
Geneva College Bookstore,Beaver Falls,Book store
City of Asylum Bookstore,Pittsburgh,Book store
Liberty Street Antiques,Franklin,Antique store
Books-A-Million,Erie,Book store
Dollar General,Franklin,Dollar store
Books-A-Million,Monaca,Book store
Riverstone Books,Pittsburgh,Book store
CC of Allegheny County North Campus Bookstore,Pittsburgh,Book store
Tractor Supply Co.,Franklin,Home improvement store
Barnes & Noble At The Penn State University Bookstore,University Park,Book store
Student Book Store,State College,Book store
Webster's Bookstore Cafe,State College,Book store
Rite Aid,Franklin,Drug store
Goodwill,Butler,Thrift store
Family Dollar,Franklin,Dollar store
Books-A-Million,Lancaster,Book store
Penn Bookstore,Philadelphia,Book store
Latonia,Oil City,
