name,address,type
Goodwill Store & Donation Center,602 E Lancaster Ave,Clothing store
Tee Jays Custom Screen Printing and Embroidery,50 S Brobst St,Clothing store
Family Dollar,508 E Lancaster Ave,Clothing store
Nothings New,11 Funston Ave,Clothing store
Walgreens,2203 Lancaster Pike,Drug store
Sizzy Rocket,,Clothing store
Frock,612 Penn Ave # 1,Women's clothing store
Fifth & Penn Fashion,502 Penn St,Women's clothing store
Bella Jules,700 Penn Ave,Women's clothing store
rue21,1665 State Hill Rd&nbsp Space 220,Clothing store
Rainbow Shops,504 Penn St,Women's clothing store
Plato's Closet Wyomissing,1183 Berkshire Blvd,Used clothing store
Express,1665 State Hill Rd,Clothing store
Sharp Dressed Man,408 Penn Ave,Men's clothing store
The Max Vintage,612 Penn Ave,Vintage clothing store
Hollister Co.,1665 State Hill Rd #620,Clothing store
McGinn School Apparel,12 S 5th Ave,Uniform store
Boscov's,1665 State Hill Rd,Clothing store
Zero Emissions Active Gear,14 Brookfield Ave,Clothing store
Habitat Clothing,1665 State Hill Rd,Clothing store
Elida's Fashions Store,242 S 5th St,Clothing store
dzinershop,142 S 5th St,Clothing store
Jos. A. Bank,774 Woodland Rd Suite F,Men's clothing store
Old Navy,1045 Woodland Rd,Clothing store
Runners Shop,200 W Lancaster Ave,Sporting goods store
T.J. Maxx,1101 Woodland Rd,Clothing store
Talbots,728 Woodland Rd,Women's clothing store
Exclusive Clothing Store,,Clothing store
Christopher & Banks,1665 State Hill Rd #350,Department store
BT Gallery Retro Vintage,514 Franklin St,Vintage clothing store
American Eagle Store,1665 State Hill Rd Suite 790,Clothing store
Ross Dress for Less,2757 Papermill Rd,Clothing store
PacSun,1665 State Hill Rd,Clothing store
Metro Crew,1665 State Hill Rd,Clothing store
JBs Bike Shop,214 W Lancaster Ave,Bicycle Shop
The Children's Place,780 Woodland Rd,Children's clothing store
Cosmic Vixens LTD,,Women's clothing store
Hot Topic,1665 Bern Rd #780,Clothing store
Ambar's Secret,,Women's clothing store
LOFT,766 Woodland Rd,Women's clothing store
New York & Company,Wyomissing,Women's clothing store
J.Jill,Wyomissing,Women's clothing store
Men's Wearhouse,Reading,Men's clothing store
Marshalls,Wyomissing,Clothing store
RUSEEN Reflective Apparel LLC,Sinking Spring,Clothing store
Pagoda Apparel,Reading,Clothing store
Lane Bryant,Reading,Plus size clothing store
Aéropostale,Wyomissing,Clothing store
Ruby Fashions,Reading,Women's clothing store
Justice,Wyomissing,Children's clothing store
Target,Wyomissing,Clothing store
Void Vintage Shop,Reading,Vintage clothing store
"Alliance Buy & Sell, LLC",Reading,Clothing store
Carriage House,Wyomissing,Women's clothing store
CBL Custom Apparel,South Heidelberg Township,Clothing store
Sheepskin Gifts Alpaca Too,Wyomissing,Clothing store
May's Fashion,,Clothing store
Visonare Apparel,,Clothing store
Confident Curves Boutique,,Plus size clothing store
Berks Monogramming,Reading,Embroidery service
Excitement Adult Superstores,Reading,Adult entertainment store
Unique Fashions & Apparel,Reading,Clothing store
Hope Outlet,Shillington,Thrift store
Tenth & Windsor Laundry,Reading,Clothing store
Burlington - Temporarily Closed,Reading,Clothing store
Mixx Boutique,West Reading,Clothing store
Garden Lane Layette Inc,Wyomissing,Baby store
Aroma,,Perfume store
Try On Clothing Shop,Reading,Clothing store
Xl Design,Wyomissing,Embroidery shop
Allison Clothing Company & Boutique,West Reading,Boutique
VF Outlet,West Reading,Outlet store
Target,Reading,Clothing store
Boscov's,Reading,Clothing store
Gymboree,Wyomissing,Children's clothing store
AutoZone Auto Parts,Shillington,Auto parts store
Kohl's,,Clothing store
Boscov's,Reading,Clothing store
All About Me Fashions,Reading,Clothing store
Pet Supplies Plus,Shillington,Pet supply store
Target,Wyomissing,Department store
Ollie's Bargain Outlet,Reading,Discount store
Lilibea's Inc,Reading,Lingerie store
Champs Sports,Wyomissing,Clothing store
Hope Outlet,Reading,Clothing store
Celtic Myth and Moonlight,West Reading,Clothing store
Charlotte Shoppe,Sinking Spring,Shoe store
Dollar Tree,Shillington,Dollar store
Target,Temple,Clothing store
Finish Line,Wyomissing,Clothing store
BK Trading Post,Shillington,Used furniture store
Hess Embroidery & Uniforms,West Reading,Uniform store
Foot Solutions Reading,Shillington,Orthopedic shoe store
Foot Locker,Wyomissing,Clothing store
Paul Fredrick,Fleetwood,Men's clothing store
Family Dollar,Reading,Clothing store
Rite Aid,Shillington,Drug store
Kasper TV & Appliance Co Inc,Shillington,Appliance store
Berks Emergency Equipment,Shillington,Safety equipment supplier
Scrubs & Beyond,West Reading,Uniform store
"VILLA, Join the Movement",Wyomissing,Clothing store
