name,address,type
Shirley's Closet,Steelton,Women's clothing store
The Score Store,,Women's clothing store
Family Dollar,Steelton,Clothing store
BuyMych,Steelton,Clothing store
Mini Fashion & Accessories,,Youth clothing store
Rainbow Shops,Harrisburg,Women's clothing store
2Ba Girl Clothing Plus,,Children's clothing store
New York & Company Outlet,Harrisburg,Women's clothing store
Venu 717,,Clothing store
T-Shirt station,Harrisburg,Clothing store
Jump Sportswear Inc,Harrisburg,Department store
Citi Trends,Harrisburg,Clothing store
Macy's,Harrisburg,Department store
Hop Hedz Official Gear,Harrisburg,Clothing store
Accent.Z,Harrisburg,Women's clothing store
House of Fashion,Harrisburg,Clothing store
Voluptuous Woman LLC,Harrisburg,Plus size clothing store
ICU Jenuine,Harrisburg,Clothing store
JCPenney,Harrisburg,Clothing store
Target,Harrisburg,Clothing store
Eddie's Clothing Store,Harrisburg,Men's clothing store
DXL Big + Tall,Harrisburg,Men's clothing store
Habitat,Harrisburg,Used clothing store
The Plum,Harrisburg,Women's clothing store
ROSA'S BOUTIQUE,Harrisburg,Women's clothing store
Lane Bryant,Harrisburg,Plus size clothing store
CommunityAid,Harrisburg,Clothing store
"Recycled Baby (Kids Clothing, Furniture & Toy Consignment)",Harrisburg,Consignment shop
Stash Vintage,Harrisburg,Vintage clothing store
Pals Apparel,Harrisburg,Clothing store
Rainbow Shops,Harrisburg,Women's clothing store
Jean Joint,Harrisburg,Clothing store
105 Hillside,,Western apparel store
Gabe's,Harrisburg,Discount store
Hidden StarDust,,Women's clothing store
smithwares,,Baby clothing store
Plato's Closet Harrisburg,Harrisburg,Clothing store
JTee’s Clothing Co.,,Clothing store
717 The Plug,,Clothing store
The Midtown Dandy,Harrisburg,Vintage clothing store
R&M Variety Shop Steelton PA,Steelton,Variety store
The Skate Shop at Rayzor Tattoos,Steelton,Skate shop
The New Englander,Lemoyne,Women's clothing store
"Be or Become, LLC",Harrisburg,Clothing store
Burlington - Temporarily Closed,Harrisburg,Clothing store
Smore Stuff,New Cumberland,Clothing store
Little Black Dress,Camp Hill,Women's clothing store
Baby Bug & Me,Lemoyne,Children's clothing store
Bhandari Clothing Center,Harrisburg,Clothing store
Kabre Clovis,,Clothing store
Michael Boyd LLC,Camp Hill,Men's clothing store
Rayzor Tattoos,Steelton,Tattoo shop
Patrizio Tuxedo,,Men's clothing store
Pineapple Lifestyle,,Clothing store
Sassy,Lemoyne,Women's clothing store
Trucker Hats And Mudflaps,,Clothing store
Athleta,Harrisburg,Clothing store
American Eagle Store,Harrisburg,Clothing store
LOFT,Harrisburg,Women's clothing store
Big B's Glove and Safety Wear,Lemoyne,Work clothes store
Target Mobile,Carlisle,Cell phone store
Advance Auto Parts,Steelton,Auto parts store
rue21,Harrisburg,Clothing store
Ross Dress for Less,Harrisburg,Clothing store
1strokeclothing,Harrisburg,Clothing store
Weber Gallagher Simpson,Harrisburg,Clothing store
Bass Pro Shops,Harrisburg,Clothing store
Boscov's,Harrisburg,Clothing store
JCPenney,Camp Hill,Clothing store
Fromm's Uniforms,Harrisburg,Uniform store
The Little Francis Children's Shoppe,Lemoyne,Children's clothing store
Banana Republic,Harrisburg,Clothing store
Strictly Formals Tuxedo Center,Harrisburg,Formal wear store
New York & Company,Harrisburg,Women's clothing store
Zumiez,Camp Hill,Clothing store
H&M,Camp Hill,Clothing store
Hollister Co.,Camp Hill,Clothing store
Aanchal Apparel & Accessories,Hummelstown,Clothing store
New York & Company Outlet,Camp Hill,Women's clothing store
Justice,Harrisburg,Children's clothing store
Marshalls,Harrisburg,Clothing store
Target Mobile,246 Westminster Dr,Cell phone store
Off the Hook,105 Hill Top Court,Clothing store
J.Jill,2547 Brindle Dr,Women's clothing store
Rite Aid,124 S Front St,Drug store
The Children's Place,3578 Capital City Mall Dr,Children's clothing store
White House Black Market,2587 Brindle Dr,Clothing store
Maggie Adams,3605 Gettysburg Rd,Women's clothing store
Torrid,3506 Capital City Mall Dr Spc 626,Plus size clothing store
The Plum - West,3801 Gettysburg Rd,Women's clothing store
Catherines,5125 Jonestown Rd,Plus size clothing store
Eddie Bauer,2603 Brindle Dr,Outdoor clothing and equipment shop
Macy's,3550 Capital Mall Dr,Department store
Buckle,3571 Capital City Mall Dr,Clothing store
Express,3506 Capital City Mall Dr,Clothing store
Annabel's,2011 Linglestown Rd # A,Women's clothing store
Aéropostale,3568 Capital City Mall Dr,Clothing store
Body Central,3506 Capital City Mall Dr,Women's clothing store
Rise Steelton,801 S Front St,Cannabis store
Footaction,3503 Harrisburg Mall,Clothing store
Old Navy,5112 Jonestown Rd #1810,Clothing store
Jos. A. Bank,3200 E Trindle Rd A,Men's clothing store
