name,address,type
Capri Pizza Westmont,1910 Minno Dr Suite 220,Italian
Carrie's Kitchen,345 Main St,Soul
Asiagos,709 Edgehill Dr,Italian
Meco's Cucina,429 Somerset St,Italian
PRESS Bistro,110 Franklin St,American
Peking Palace,1761 Goucher St # 101,Chinese
Pizza Man's Pizza,1745 Lyter Dr,Pizza
Santo's Pizza,1749 Goucher St,Pizza
Harrigan's Cafe & Wine Deck,250 Market St,Mediterranean
Balance Restaurant,415 Main St,Restaurant
Pizza Hut,1912 Minno Dr,Pizza
Eat'n Park,1900 Minno Dr,American
Dairy Queen Grill & Chill,1774 Lyter Dr,Fast Food
Gallina's Pizza & Restaurant,130 Market St,Pizza
Our Sons' Family Restaurant,800 Broad St,Family-friendly
Papa John's Pizza,1737 Goucher St,Pizza
Flood City Cafe,137 Clinton St,Restaurant
Burger King,1914 Minno Dr,Fast Food
Back Door Café,402 Chestnut St,Mediterranean
The Boulevard Grill,165 Southmont Blvd,Grill
Capri Pizza Westmont,1910 Minno Dr Suite 220,Italian
Carrie's Kitchen,345 Main St,Soul
Asiagos,709 Edgehill Dr,Italian
Meco's Cucina,429 Somerset St,Italian
PRESS Bistro,110 Franklin St,American
Peking Palace,1761 Goucher St # 101,Chinese
Pizza Man's Pizza,1745 Lyter Dr,Pizza
Santo's Pizza,1749 Goucher St,Pizza
Harrigan's Cafe & Wine Deck,250 Market St,Mediterranean
Balance Restaurant,415 Main St,Restaurant
Pizza Hut,1912 Minno Dr,Pizza
Eat'n Park,1900 Minno Dr,American
Dairy Queen Grill & Chill,1774 Lyter Dr,Fast Food
Gallina's Pizza & Restaurant,130 Market St,Pizza
Our Sons' Family Restaurant,800 Broad St,Family-friendly
Papa John's Pizza,1737 Goucher St,Pizza
Flood City Cafe,137 Clinton St,Restaurant
Burger King,1914 Minno Dr,Fast Food
Back Door Café,402 Chestnut St,Mediterranean
The Boulevard Grill,165 Southmont Blvd,Grill
Zeke's Pizza,80 Fairfield Ave,Pizza
Scott's By Dam,327 Market St,Bar
Pyramid's Lounge and Catering,370 Sheridan St,American
Old Franco's Pizzeria,308 Central Ave,Pizza
Tony's Pizza Shop,74 Fairfield Ave,Pizza
T N C's Lounge,640 Bedford St #1957,Grill
Sheetz #86,1791 Goucher St,Restaurant
Em's Subs,612 Goucher St,Sandwich
Applebee's Grill + Bar,425 Galleria Dr,Restaurant
Big Shot Bob's House of Wings - Johnstown,1171 Hunt St,Chicken Wings
Johnstown Inn,1310 Frankstown Rd,Grill
Fox's Pizza Den,1140 Frances St,Pizza
Dunkin',1918 Minno Dr,Coffee shop
Anthony's Wood Fired,725 Scalp Ave,Italian
The Corner Coffee Shoppe,810 Scalp Ave,Family-friendly
Szechuan East,1230 Scalp Ave,Chinese
The Mirage Banquet Facility,709 Edgehill Dr,Restaurant
Fox's Pizza Den,224 Parkhill Dr,Pizza
Tony's Sub Shop,1346 Franklin St,Sandwich
Bistro,203 Nees Ave,Pizza
Zeke's Pizza,80 Fairfield Ave,Pizza
Scott's By Dam,327 Market St,Bar
Pyramid's Lounge and Catering,370 Sheridan St,American
Old Franco's Pizzeria,308 Central Ave,Pizza
Tony's Pizza Shop,74 Fairfield Ave,Pizza
T N C's Lounge,640 Bedford St #1957,Grill
Sheetz #86,1791 Goucher St,Restaurant
Em's Subs,612 Goucher St,Sandwich
Arby's,Johnstown,Fast Food
Fuji Japanese Steakhouse,Johnstown,Japanese steakhouse
S,Johnstown,Grill
Taco Bell,Johnstown,Fast Food
Chili's Grill & Bar,Johnstown,Tex Mex
Econo Lodge Johnstown Downtown,,2-star hotel
Wendy's,Johnstown,Fast Food
Woodside Bar & Grill,Johnstown,Bar
Fetz’s Sports Pub,Johnstown,Grill
Retired,,Restaurant
