name,address,type
Mustard Seed Christian Store,1736 6th St,Gift shop
Second Hand Rose,Bay City,Consignment shop
Vacek's Barn,Bay City,Antique store
Dollar Tree,Bay City,Dollar store
Bay City Antique Mall,Bay City,Antique store
Walmart Supercenter,Bay City,Department store
Childrens Store,Bay City,Children's clothing store
Family Dollar,Bay City,Dollar store
Dollar General,Bay City,Dollar store
Tractor Supply Co.,Bay City,Hardware store
Dollar General,Bay City,Dollar store
Old Main Bookstore,Palacios,Book store
"Spec's Wines, Spirits & Finer Foods",Bay City,Wine store
H-E-B,Bay City,Grocery store
Sutherlands,Bay City,Lumber store
Walgreens,Bay City,Drug store
Ad Vantage Specialties,Bay City,Embroidery shop
Walmart Auto Care Centers,Bay City,Tire shop
CVS,Bay City,Drug store
"C M Auto Glass, Inc.",Bay City,Auto glass shop
O'Reilly Auto Parts,Bay City,Auto parts store
Carquest Auto Parts - Davis Bros Auto Parts - Bay City,Bay City,Auto parts store
Alamo Lumber - Bay City,Bay City,Lumber store
Walmart Garden Center,Bay City,Garden center
CVS Pharmacy,Bay City,Pharmacy
Ace Hardware,Bay City,Hardware store
Walgreens Photo,Bay City,Passport photo processor
Walmart Pharmacy,Bay City,Pharmacy
McCoy’s Building Supply,Bay City,Building materials store
Walgreens Pharmacy,Bay City,Pharmacy
Hlavinka Equipment Company,Bay City,Farm equipment supplier
Heavenly Helpers Christian Store,El Campo,Christian book store
Mayfield Pipe & Cattle Guards,Bay City,Pipe supplier
South Texas Corrugated Pipe Inc.,Bay City,Building materials supplier
Heaven's Corner Books,,Book store
Bedrock City Comic Company,Webster,Comic book store
Bedrock City Comic Co,Missouri City,Comic book store
Schroeder's Book Haven,League City,Book store
Family Dollar,Panhandle,Dollar store
Karla Keller Schulman,,Book store
TAMMY HUERTA FENDER,,Book store
Barnes & Noble,Webster,Book store
Linden Fielding,,Book store
My Dog Monkey LLC,,Childrens book store
Herndon Williams,,Book store
Brazos Bookstore,Houston,Book store
Sacco Company,Houston,Book store
Half Price Books,Houston,Book store
marianland.com,,Book store
The Wayfarers Journal,,Photographer
Book Rack,Universal City,Used book store
Dollar General,Bay City,Home goods store
Books In Balance LLC,Bay City,Bookkeeping service
"Spanning Gender Books, LLC",,Book store
Wharton County Junior College,Bay City,College
"Recycled Reads Bookstore, Austin Public Library",Austin,Used book store
BookPeople,Austin,Book store
Bay City,,
Scrap Catalytic Converter Guide,,Book store
Comic books,,Comic book store
Scholastic Book Fairs,Schertz,Book store
Pete's Automotive,Bay City,Auto repair shop
The Hobbit,,Book store
"Scottish Inns & Suites Bay City, TX",,1-star hotel
St. Vincent de Paul Society,Bay City,Non-profit organization
Perfect Dental of Bay City,Bay City,Dental clinic
Office Depot- Curbside Pickup Available,Lake Jackson,Office supply store
Hampton Inn & Suites Bay City,,3-star hotel
Bay City Public Library,Bay City,Public library
Booked Up,Archer City,Book store
Bay City Funeral Home,Bay City,Funeral home
Milam Street Coffee & More,Wharton,Coffee shop
Holiday Inn Express & Suites Bay City,,3-star hotel
Hotel Bay City TX-35,,2-star hotel
GameStop,Lake Jackson,Video game store
La Quinta Inn & Suites by Wyndham Bay City,,2-star hotel
Studio 6 Bay City TX,,2-star hotel
Days Inn by Wyndham Bay City,,2-star hotel
Half Price Books,Watauga,Book store
Candlewood Suites Bay City,,2-star hotel
"Scottish Inns & Suites Bay City, TX",,1-star hotel
Paradise Motel,,2-star hotel
Fairfield Inn & Suites by Marriott Bay City,,2-star hotel
Sutherlands,Bay City,Building materials supplier
Super 8 by Wyndham Bay City,,2-star hotel
Comfort Suites,,2-star hotel
Schulman's Movie Bowl Grille - Bay City,Bay City,Movie theater
Super 8 bay city,Bay City,Hotel
Matagorda County Court House,Bay City,Courthouse
Matagorda County United Way,Bay City,Social services organization
Matagorda Medical Group,Bay City,Medical clinic
Executive Inn,,2-star hotel
Black Cat Memorial Stadium,Bay City,School
Bay City Independent School District,Bay City,School
Bay City ISD Administration Building,Bay City,School administrator
Express Inn Bay City,,2-star hotel
Jack in the Box,Bay City,Fast Food
Alcoholics Anonymous,Bay City,Alcoholism treatment program
Paradise Motel,,2-star hotel
Billy's Grille & Bar,Bay City,Restaurant
Bay City Independent School District,Bay City,School
Edward Jones - Financial Advisor: Alyssa Sanders,Bay City,Financial consultant
