name,address,type
Volare Italian Restaurant,102 S Ross St,Italian
LJ's BBQ,1407 W Main St,Barbecue
B T Longhorn Saloon,205 S Baylor St,Steak
Las Americas Latin Cuisine,303 S St Charles St,Latin American
Kay's Cuisine For the Soul,603 S Market St,Bistro
Sealand Seafood & Steak,2201 Hwy 290 E,Seafood
Dairy Bar,2703 Stringer St,Hamburger
Mariachis Mexican Restaurant,2104 S Market St,Mexican
Manuel's Mexican Restaurant & Taqueria,409 W Main St,Mexican
Los Cabos Mexican Grill & Steak House,2800 TX-36,Mexican
Kountry Boys Bakery & Restaurant,401 US-290,Breakfast
Cody's Pit Stop BBQ,2828 Industrial Blvd,Barbecue
Texas Seafood And Steak House,2209 S Market St,Seafood
Andrea's Taco Shop,1102 N Park St,Mexican
Must Be Heaven,107 W Alamo St,Sandwich
Brenham Grill,107 W Commerce St,Grill
Guadalajara Mexican Restaurant,1308 Prairie Lea St,Mexican
Chinese Buffet,2658 TX-36,Chinese
Nathan's BBQ (the original Big Daddy's),1308 US-290,Barbecue
Whataburger,2801 Hwy 36 South,Restaurant
Shogun Japanese Grill & Sushi Bar,105 highway 290 west,Japanese
Yumm! Sweets & Eats,106 E Alamo St,Sandwich
Ninety Six West,103 S Baylor St,Restaurant
Golden Imperial,222 Hwy 290 E,Chinese
Chili's Grill & Bar,2700 Wood Ridge Blvd,Tex Mex
Pizzaiolo's,675 US-290 BUS,Pizza
Funky Art Cafe,202 W Commerce St,Bistro
Daisy's,605 E Main St,Mexican
Catherine's Victorian Tea Room,302 S St Charles St,Lunch
Las Fuentes,201 Hwy 290 E A,Mexican
Applebee's Grill + Bar,501 US Hwy. 290 West,Restaurant
On Deck Restaurant,1600 FM389,Seafood
Anis Taqueria (Gorditas)& tacos all pastor,1600 S Day St,Mexican
Lupita's Market,900 S Austin St,Mexican
Subway,1905 S Market St,Sandwich
Bush's Chicken,2749 TX-36,Chicken
Wingstop,2642 TX-36 S,Chicken Wings
Home Sweet Farm Market & Biergarten,307 S Park St,Beer Garden
Sonic Drive-In,2312 S Day St,Fast Food
Hartz Chicken Buffet,2548 S Day St,Fast Food
Taco Bell,2607 Hwy 36 South,Fast Food
TABU Tacos & Burgers,112 S Park St,Tacos
Pollos Asados Rey Regio 2,1600 N Park St,Mexican
Pioneer Mercantile and Smokehouse,309 S Park St,Barbecue
Denny's,2951 TX-36 South,Diner
Subway,203 US Loop 290 W,Sandwich
Burger King,1101 N Park St,Fast Food
Pioneer Smokehouse,309 S Park St,Restaurant
Papa John's Pizza,228 US-290,Pizza
Dairy Queen Store,904 S Market St,Fast Food
Jack in the Box,400 Hwy 290 E W,Fast Food
Main Moon,1501 Hwy 290 E,Chinese
Little Caesars Pizza,1608 S Day St,Pizza
Truth BBQ,2990 US-290,Barbecue
Brazos Valley Brewing Company,206 S Jackson St,Brewpub
new building,,Grill
Church's Chicken,1041 S Market St,Chicken
Dairy Queen Store,2254 US-290,Fast Food
McDonald's,500 Hwy 290 E W,Fast Food
Subway,1701 TX-105,Sandwich
Las Palmas Fruit Cup,,Restaurant
Royer's Alamo Kitchen,302 E Alamo St,Restaurant
McDonald's,2135 US-290 W,Fast Food
Santa Fe & SP Cafe,302 W 1st St,Cafe
Champs Chicken,1706 N Park St,Chicken
Burtons,11700 US-290 BUS,American
Lone Star Southern Grill,2120 US-290,Restaurant
El Charro T Mexican Restaurant,3015 US-290,Mexican
Schlotzsky's,2606 TX-36,Sandwich
"Smittys Cafe and Bakery,",100 W Main St,Cafe
Texas Smoke Pit,401 N Austin Pkwy,Barbecue
Domino's Pizza,2650 TX-36 S,Pizza Delivery
Roux St. Icehouse,110 W Main St,Bar
Brenham Brewery,201 W 1st St,Restaurant
JADII SOUL FOOD,806 Independence St,Soul
Ba Na Vietnamese Cuisine,2628 TX-36,Restaurant
Southern Flyer Diner,3001 Aviation Way,Diner
Black Truck '48 Coffee & Tea Market,2805 Hwy 290 West,Coffee shop
Shell,1309 Prairie Lea St,Restaurant
Mescalito Coffee,212 W Alamo St,Coffee shop
Party Barn,140 New Wehdem Rd,Breakfast
Cannery Kitchen,314 E Alamo St,Caterer
Independence Coffee Co. and Black Truck '48 Coffee & Tea Market,2805 US-290,Coffee shop
Weikel's Store & Bakery,2155 US-290,Bakery
Circle K,1708 TX-105,Convenience store
Nate's Bar,1611 E Alamo St,Bar
Southern Flyer,3001 Aviation Way,Southern
