name,address,type
Barnes & Noble at Texas A&M University,College Station,Book store
Half Price Books,College Station,Book store
Textbook Solutions,College Station,Used book store
Scripture Haven,College Station,Christian book store
BCS Books & Comics,Bryan,Comic book store
Barnes & Noble,College Station,Book store
Texas Aggieland Bookstore (TXAG Store),College Station,Gift shop
Cavitt Corner Used Books,Bryan,Used book store
Blinn College Book Store,Bryan,Book store
Texas A&M University Press,College Station,Book publisher
"Cosmic Pursuits Games, Comics & Collectibles",,Comic book store
Ed's Bookshop,Bryan,Rare book store
Virtualbookworm Publishing,College Station,Publisher
Kevin Burgess,College Station,Book store
NerdVana Vintage Arcade & Toys,College Station,Book store
Ollie's Bargain Outlet,College Station,Book store
Learning Express Toys of College Station,College Station,Toy store
Clockwork Games & Events,College Station,Game store
Office Depot- Curbside Pickup Available,College Station,Office supply store
Heart of Texas Goodwill Industries,College Station,Thrift store
Aggieland Outfitters,College Station,Clothing store
Walmart Supercenter,College Station,Department store
Best Buy,College Station,Music store
Dollar Tree,College Station,Dollar store
College Station,College Station,Stationery store
Target,College Station,Department store
AT&T Store,College Station,Cell phone store
Cindie's - Bryan,Bryan,Lingerie store
Kohl's College Station- Curbside Pickup only,College Station,Department store
PetSmart,College Station,Pet supply store
Kroger,College Station,Grocery store
Walgreens,College Station,Drug store
Jacque's,Bryan,Toy store
H-E-B,College Station,Grocery store
Sour Apple Repair,College Station,Cell phone store
The UPS Store,College Station,Shipping and mailing service
King Dollar,College Station,Dollar store
