name,address,type
Linda's Southern Kitchen,201 E Pearl St #108,Southern
Eighteen Ninety Grille and Lounge,115 E Pearl St,American
Christina's Bistro,110 N Houston St,American
Babe's Chicken Dinner House,114 W Pearl St,Restaurant
Pearl Street Station,120 W Pearl St,Barbecue
Joe's Pasta & Pizza,512 W Pearl St,Italian
Ketzler's Schnitzel Haus And Biergarten,101 E Pearl St,German
Hoffbrau Steak & Grill House,315 E US Hwy 377,Steak
Firehouse Cafe,1462 E US Hwy 377,American
Miyako Restaurant,715 Autumn Ridge Dr,Japanese
Mesquite Pit Steaks and Bar B Q,919 E Pearl St,Barbecue
Farina's Winery & Cafe,202 N Houston St,Italian
Pastafina Italian Pizza Rest,1106 S Morgan St,Italian
Garcia's Mexican Restaurant & Cantina,2000 NE Loop 567,Mexican
The Fillin' Station,100 N Crockett St,Hamburger
Spring Creek Barbeque,317 W US Hwy 377,Barbecue
El Chico Cafe,1151 E US Hwy 377 Suite #110,Mexican
Mi Familia Méxican Restaurant,1468 E US Hwy 377,Mexican
Grumps,3503 E US Hwy 377,Hamburger
Cari's,2113 E US Hwy 377,Breakfast
Flames Seafood Bar & Grill,1030 E US Hwy 377,Grill
Stumpy's Lakeside Grill,2323 S Morgan St,Family-friendly
Rib Shack,4021 Acton Hwy,Barbecue
Thorp Springs Cuisine,2312 N Lipan Dr,Thai
Taste & See,105 W Pearl St,Restaurant
Pam's Too,5320 Acton Hwy,American
Willie & Dick's Grill,424 Fall Creek Hwy,Seafood
The Local Cafe,211 Temple Hall Hwy,American
Belenty's Love Mexican Vegan Restaurant,2200 E US Hwy 377,Vegan
Pam's Restaurant,204 S Morgan St,Breakfast
El Gallo De Oro,430 E Pearl St,Mexican
Asian Grill,1311 N Plaza Dr,Asian
Buck's Burgers & Catfish,804 E Pearl St,Hamburger
Palio's Pizza Cafe Granbury,3710 East Highway 377 #100,Pizza
Chili's Grill & Bar,1000 E US Hwy 377,Tex Mex
Cotton Patch Cafe,1151 E US Hwy 377 #100,Restaurant
Don Melquias Mexican Restaurant,3132 Fall Creek Hwy,Mexican
Tropical Breeze Nutrition,720 E US Hwy 377,Health Food
Paradise Bistro & Coffee Co,129 E Pearl St,Bistro
Fuzzy's Taco Shop,115 W Pearl St,Tacos
Nutshell Eatery & Bakery,137 E Pearl St,Restaurant
Randy's Bar & Grill,1454 E US Hwy 377,Restaurant
Tiki Shack DaiquiriZ & Tacos To Go,4518 E US Hwy 377,Restaurant
La Fiesta Mexican Grill And Cantina,1112 S Morgan St,Mexican
Chick-fil-A,1011 E W US Hwy 377,Fast Food
Montes Breakfast Burritos,2202 E US-377,Mexican
Alex's Pizza Pasta Subs Granbury,2147 E US Hwy 377,Pizza
Braum's Ice Cream & Burger Restaurant,"1110 E, US-377",Ice Cream
Chicken Express,1250 E US Hwy 377,Chicken
Local Goat Distillery,607 N Houston St,Grill
Imperio Taqueria,1102 W Pearl St,Tacos
Papa Murphy's | Take 'N' Bake Pizza,3906 E US Hwy 377,Pizza
Whataburger,907 W US Hwy 377 S,Restaurant
Sonic Drive-In,1155 W US Hwy 377 East,Fast Food
Chipotle Mexican Grill,321 E US Hwy 377,Mexican
Taco Casa,3706 E US Hwy 377,Fast Food
China Cafe,1401S S Morgan St,Buffet
Best Burger Barn - Acton,5675 N Gate Rd,Hamburger
Bob’s Off the Square,106 N Lambert St,Restaurant
Dairy Queen,950 E US Hwy 377,Fast Food
Taco Delight,206 S Morgan St #1954,Fast Food
Pure Country Cafe,4312 Weatherford Hwy,American
Dickey's Barbecue Pit,3906 E US Hwy 377,Barbecue
Aduu Bistro Pho & Sushi,,Restaurant
Wingstop,329 E US Hwy 377,Chicken Wings
Papa John's Pizza,728 E US Hwy 377,Pizza
Subway,1317 N Plaza Dr N,Sandwich
Jack in the Box,1010 S Morgan St,Fast Food
Panchito's Mexican Restaurant,4506 Weatherford Hwy,Restaurant
Subway,1423 S Morgan St,Sandwich
Golden Chick,1160 E US Hwy 377,American
T J's Cafe,3126 Oak Trail Dr,Grill
Rockin 'S Bar And Grill Lake Granbury,1003 White Cliff Rd,Grill
Subway,W US Hwy 377 Suite# 103,Sandwich
Firehouse Subs,325 E US Hwy 377,Sandwich
Panda Express,1031 E US Hwy 377,Fast Food
Pizza Hut,1014 S Morgan St,Pizza
McDonald's,1101 S Morgan St,Fast Food
Honey Bee Ham,2101 E US Hwy 377,Sandwich
Wendy's,425 E W US Hwy 377,Fast Food
Schlotzsky's,1100 Water's Edge Dr,Sandwich
Cicis,1333 N Plaza Dr,Restaurant
Taco Bell,835 E US Hwy 377,Fast Food
Little Caesars Pizza,1030 E W US Hwy 377,Pizza
Burger King,1105 S Morgan St,Fast Food
McDonald's,3908 W US Hwy 377 East,Fast Food
Subway,3256 Fall Creek Hwy-Acton,Sandwich
Nares Tacos,2601 E US Hwy 377,Restaurant
Jimmy John's,409 East W US Hwy 377,Sandwich
Silver Saddle Saloon,124 N Houston St,Ice Cream
RaceTrac,3711 E US Hwy 377,Gas station
Domino's Pizza,3264 Fall Creek Hwy,Pizza Delivery
KFC,"2201 E, W US Hwy 377",Chicken
Domino's Pizza,1151 E US Hwy 377 Ste 107,Pizza Delivery
RaceTrac,1550 S Morgan St,Gas station
Let's Eat,28485 W US Hwy 377,Restaurant
Diamond D Billiards & Sports,3605 Contrary Creek Rd,Night club
Abby's Restaurant,5921 Fall Creek Hwy,Hamburger
Southern Snow Granbury,206 W Bridge St,Restaurant
Raising Cane's Chicken Fingers,1041 E US Hwy 377,Fast Food
Tropical Breeze Nutrition Club,720 E US Hwy 377,Health food store
Tackle Box,1413 Blackhawk Cir,Restaurant
The Funky Munky Shaved Ice,2420 E US Hwy 377,Restaurant
Best Donuts,4919 Fall Creek Hwy,Restaurant
