name,address,type
GH Turner Memorial Library,Grand Prairie,Museum
C R Smith Museum,Fort Worth,Museum
International Bowling Museum & Hall of Fame,Arlington,Museum
Ophelia's Grave,Grand Prairie,Museum
Grand Prairie Historical Museum,Grand Prairie,Museum
AFactory Studio Museum of Arts,,Art center
Jackie Townsell Bear Creek Heritage Museum,Irving,Heritage museum
Former Location of Lion Country Safari,Grand Prairie,Museum
Fire House,Grand Prairie,Museum
Arlington Museum of Art,Arlington,Art museum
Penn Farm Agricultural History Center,,History museum
Arlington Archosaur Site,Euless,Museum
book depository,Arlington,Museum
BD3 RESIDENCE,Arlington,Museum
Chosin Few Memorial,,Museum
Ruth Paine House Museum,Irving,Museum
The American Museum Of God,Irving,Art museum
Hickey Cemetary,Arlington,Museum
Jfk museum,Dallas,Museum
Globe Life Park - Lot E,Arlington,Museum
Cedar Hill Museum of History,Cedar Hill,Local history museum
Unity Arch,Arlington,Sculpture museum
Texas Fire Museum,Dallas,Museum
Fielder House Museum,Arlington,Museum
Knapp Heritage Park,Arlington,History museum
Euless Heritage Museum,Euless,Museum
E.P.'s Fine Art & Perspicacity,,Modern art museum
International Museum Of Cultures,Duncanville,Museum
Ruth Payne House,,Museum
Spiritweave Galleries,Arlington,Museum
The Road Channel Network,Arlington,Local history museum
Mansfield Historical Museum & Heritage Center,Mansfield,Museum
Dallas Museum Of Art,Dallas,Art museum
Perot Museum of Nature and Science,Dallas,Science museum
Olden Year Museum,Duncanville,Museum
Cambodia Buddhist,Dallas,Museum
Goss Michael Foundation,,Art gallery
The Sixth Floor Museum at Dealey Plaza,Dallas,History museum
Arlington Library,Arlington,Museum
Frontiers of Flight Museum,Dallas,Museum
Downtown Irving Heritage Clock Tower,Irving,Museum
Founders Row,Midlothian,History museum
The Mustangs of Las Colinas Museum,Irving,Museum
DFW Glass Art,Arlington,Museum
African American Museum of Dallas,Dallas,Museum
Sharrock Farmstead Historic Landmark,Dallas,Museum
Trust Weaver Heritage,Bedford,Heritage museum
Old Red Museum of Dallas County History & Culture,Dallas,Museum
Stoney's Dallas Cowboys Museum,Arlington,Museum
Nasher Sculpture Center,Dallas,Sculpture museum
Texas Museum-Automotive History,Dallas,Museum
Irving Archives and Museum,Irving,Museum
Crow Museum of Asian Art,Dallas,Art museum
Whistlestop Plaza,Irving,Museum
The Samurai Collection,Dallas,Museum
Museum of Earth History,Dallas,Museum
Haas Moto Museum & Sculpture Gallery,Dallas,Museum
Museum Arts Inc,Dallas,Museum
Museum of Geometric and MADI Art,Dallas,Museum
Blue Bonetts,,Museum
Flag Pole Hill,3500-3600 Hidalgo St,Sculpture museum
Meadows Museum,5900 Bishop Blvd,Museum
Oswald Rooming House Museums,1026 N Beckley Ave,History museum
Home Studio,4516 W Northgate Dr,Museum
207 Wooded Glen Ct.,207 Wooded Glen Ct,Museum
DFW Elite Toy Museum,5940 Eden Dr,Museum
Continental DAR House,"State Fair of Texas, Martin Luther King Junior Boulevard, Dallas, TX",Museum
Universal,,Museum
Dallas Heritage Village,1515 S Harwood St,Open air museum
Museum of Illusions,701 Ross Ave,Museum
Site of old Texas Stadium,2000 N Walton Walker Blvd,Museum
Museum of Biblical Art,7500 Park Ln,Art museum
Book Depository,"Dallas County Administration Building, 411 Elm St",Museum
Steve Ray Vaughan Childwood Home,2557 Glenfield Ave,Museum
Dallas Firefighters Museum,3801 Parry Ave,Museum
Pure Sculpture,2603 Farrington St,Sculpture museum
Modern Art Museum of Fort Worth,3200 Darnell St,Modern art museum
Parker University - James W. Parker Museum,Electronic Ln,Museum
Legacy of Love Monument,,Museum
Random Art Gallery,2242 Monitor St #140,Museum
Psychedelic Robot,Dallas,Art museum
Swa,Irving,Museum
Arlington Historical Society,Arlington,Museum
"Holocaust Museum, Dallas",Dallas,Museum
Fort Worth Museum of Science and History,Fort Worth,Science museum
Ellis County Museum,Waxahachie,Museum
Mustangs of Las Colinas,Irving,Museum
Sideman Urban Park,Arlington,Museum
Biblioteca,Dallas,Museum
Sid Richardson Museum,Fort Worth,Art museum
White Settlement Library,Dallas,Museum
George W. Bush Presidential Center,Dallas,Museum
Contempo Art Glass Gallery,Arlington,Museum
Kimbell Art Museum,Fort Worth,Art museum
Haas Motorcycle Gallery at Dragon,Dallas,Museum
Amon Carter Museum of American Art,Fort Worth,Museum
Salon and Spa Museum,Fort Worth,Museum
Log Cabin Pioneers of Dallas,Dallas,Museum
Lee Harvey Oswald Gravesite,,Museum
Renner School,Dallas,Museum
