name,address,type
Fleur Fine Books,Port Neches,Book store
Lamar State College - Port Arthur Bookstore,Port Arthur,Book store
TheMomOfMany,Port Neches,Book store
Geez's Literary Critics,,Book store
Missions Attic,Groves,Thrift store
The Collection Fine Gifts and Accessories,Groves,Gift shop
Sundara Coffee House,Groves,Coffee shop
Dollar General,Groves,Dollar store
Kampus Korner Bookstore,Beaumont,Book store
Circle K,Groves,Convenience store
Sherwin-Williams Paint Store,Groves,Paint store
Walgreens,Groves,Drug store
"Snooper's Paradise Inc.- Fine European, Italian & French Antiques",Groves,Antique store
Lamar State College-Orange Bookstore Orange,Orange,Book store
Vonnie's Liquor,Groves,Liquor store
Family Dollar,Groves,Dollar store
Firestone Complete Auto Care,Groves,Tire shop
Big Lots,Groves,Discount store
B & B Mini Mart,Groves,Convenience store
The Author's Xpression,Beaumont,Book store
H-E-B,Groves,Grocery store
Barnes & Noble,Beaumont,Book store
Discount Liquor,Groves,Liquor store
Phillips Florist,Groves,Florist
Sylvia's Florist And Gifts,Groves,Florist
Red B4 Books,Beaumont,Used book store
Williams Florist & Greenhouse,Groves,Florist
Market Basket,Groves,Grocery store
Walmart Supercenter,Port Arthur,Department store
Dressin' Up,Groves,Bridal shop
Stop N Drive,Groves,Convenience store
2nd & Charles,Beaumont,Used book store
Book Stan,Beaumont,Comic book store
Comics Kingdom,Beaumont,Comic book store
Quality Medical Sales & Repairs,Groves,Rental
T & S Cycle,Groves,Motorcycle dealer
Dollar General,Port Arthur,Dollar store
Walgreens Photo,Groves,Passport photo processor
Christian Book Supplies-Gifts,Silsbee,Book store
Family Dollar,Port Arthur,Dollar store
Family Dollar,4000 9th Ave,Dollar store
Family Dollar,3701 Gulfway Dr,Dollar store
Goodwill Port Arthur,4352 FM 365,Thrift store
Yellow Rose Antiques,1303 Port Neches Ave,Antique store
Family Dollar,1519 Magnolia Ave,Dollar store
Family Dollar,7550 9th Ave,Dollar store
Quick Lane Tire and Auto Center,4545 Twin City Hwy,Oil change service
Shoogz,4316 Lincoln Ave,Clothing store
Family Dollar,190 Gilham Cir,Dollar store
Dollar General,1011 Nederland Ave,Dollar store
Galveston Bookshop,317 23rd St,Used book store
Brazos Bookstore,2421 Bissonnet St,Book store
Barnes & Noble,"Baybrook ll 1029, Bay Area Blvd",Book store
River Oaks Bookstore,3270 Westheimer Rd,Book store
Half Price Books,961 E NASA Pkwy,Book store
Murder By The Book,2342 Bissonnet St,Book store
H-E-B,3401 Gulfway Dr,Grocery store
TSU Bookstore,3100 Cleburne St,Book store
Kaboom Books,3116 Houston Ave #6736,Used book store
Sacco Company,2323 San Jacinto St,Book store
Good Books In The Woods,Spring,Book store
Absolutely Fiction Books,Lufkin,Book store
Barnes & Noble,Sugar Land,Book store
Blue Willow Bookshop,Houston,Book store
H-E-B,Port Arthur,Grocery store
