name,address,type
The Fringe Hair Studio,546 S Wheeler St,Beauty salon
Lorri's Hair Depot,2504 N Wheeler St,Beauty salon
SmartStyle Hair Salon,"800 W Gibson Located Inside Walmart, #214",Beauty salon
Creative Cuts,205 S Main St,Beauty salon
Beauty Explosions,708 Hemphill St,Beauty salon
Hair By Amy,314 College St,Beauty salon
Capelli Salon & Day Spa,2051 S Wheeler St # B,Hair salon
Urban Color Cut,799 W Gibson St # 200,Hair salon
Always Beautiful Hair Salon,908 N Wheeler St,Hair salon
Jasper Nail Spa,808 W Gibson St # 1,Nail salon
Lee Nails Spa,718 W Gibson St,Nail salon
Top Nails,422 E Gibson St,Nail salon
Nails & Spa by Venecian,799 W Gibson St # 760,Nail salon
Merle Norman Cosmetic Studio,924 N Wheeler St,Beauty salon
Great Escape Hair Salon,Co Rd 114,Beauty salon
NuvaDermRX,246 E Milam St,Beauty salon
Mias Beauty Mart,408 E Gibson St,Beauty supply store
