name,address,type
Roma Italian Restaurant,201 W Pleasant Run Rd #1519,Italian
Casserole Soul Cafe,133 Historic Town Square,Restaurant
Sharks fish and chicken Jamaican and American,1220 N Dallas Ave,Jamaican
3 Hermanos Taqueria,1450 W Pleasant Run Rd #172,Mexican
The Taxiway Cafe,730 Ferris Rd,American
GatorPit BarBQ,2555 N Dallas Ave,Barbecue
Zac's Phillysteaks & Shakes,3250 W Pleasant Run Rd,Restaurant
Hickory House,906 N Dallas Ave,Barbecue
Dan's Seafood & Chicken,3215 W Pleasant Run Rd #105,Seafood
Ton's Palace Chinese Restaurant,"285, 3250 W Pleasant Run Rd",Chinese
Taqueria El Abuelito,2709 N Dallas Ave,Mexican
Wok Xpress,1005 W Pleasant Run Rd,Restaurant
Taqueria Lancaster,1221 Masonic Dr,Mexican
JJ Fish & Chicken,3250 W Pleasant Run Rd #220,Seafood
Taste of Jamaica,3225 W Pleasant Run Rd #100,Jamaican
Taco Grill,2709 N Dallas Ave,Mexican
In-N-Out Burger,"740 N, I-35E",Hamburger
MrJims.Pizza Lancaster,1009 W Pleasant Run Rd,Pizza
Chili's Grill & Bar,"530 N, I-35E",Tex Mex
Cicis,3250 W Pleasant Run Rd,Restaurant
Wings World,1450 W Pleasant Run Rd # 110,Chicken Wings
Waffle House,"1416 N, I-35E",Breakfast
Taco Casa,2625 N Dallas Ave,Fast Food
JJ Fish & Chicken,1450 W Pleasant Run Rd suite # 156,Fast Food
Paleteria The Queen,1132 N Dallas Ave,Fast Food
Whataburger,120 N Beckley St,Restaurant
Subway,3250 W Pleasant Run Rd Suite 110,Sandwich
Outback Steakhouse,1101 N Beckley Ave,Steak
Henderson Chicken,710 W Pleasant Run Rd,Chicken
Taquería Palapas - Restaurante,627 W Pleasant Run Rd,Mexican
Subway,1445 W Pleasant Run Rd Suite 100,Sandwich
Whataburger,3797 N Houston School Rd,Restaurant
Mariscos La Marina,"920 N, I-35E",Restaurant
Los Tapatios,1001 S Interstate 35 East Service Rd,Mexican
Asaderos - lancaster,823 W Pleasant Run Rd,Mexican
Cracker Barrel Old Country Store,1421 N Beckley Ave,American
Welcome to Shelia Cajun Food,1807 Apollo Ln,Cajun
Subway,3030 N Dallas Ave,Sandwich
El Chico Cafe,1111 S Interstate 35 East Service Rd,Mexican
McKenzie's Kitchen & Catering,1223 E Belt Line Rd,Soul
Sonic Drive-In,3209 W Pleasant Run Rd,Fast Food
Dickey's Barbecue Pit,"1600 N, I-35E Ste 116a",Barbecue
McDonald's,1463 W Pleasant Run Rd,Fast Food
Williams Chicken,8502 S Lancaster Rd,Chicken
Taco Bell,"526 North, I-35E",Fast Food
Taco Cabana,786 I-35E,Tacos
Chicken Express,760 North S Interstate 35 East Service Rd,Chicken
Luby's,801 North Beckley Road,Family-friendly
Jack in the Box,1448 W Pleasant Run Rd,Fast Food
Bear Creek Barbecue,1308 E Bear Creek Rd Ste 160,Barbecue
IHOP,"790 N, I-35E",Restaurant
New Win Hing Restaurant,1450 W Pleasant Run Rd,Chinese
D'Ventures Restaurant & Club,7474 S Lancaster Rd,Soul
Little Caesars Pizza,1061 W Pleasant Run Rd,Pizza
SIRG Wings & More,1001 S Interstate 35 East Service Rd #324B,Chicken
Whataburger,8501 S Lancaster Rd,Restaurant
Subway,8181 S Lancaster Rd,Sandwich
Future warehouse of In n Out burgers,2501 S Pointe Dr,Hamburger
Soulmans Bar-B-Que,8018 S Lancaster Rd,Barbecue
Church's Chicken,3160 W Pleasant Run Rd,Chicken
Golden Chick,1444 W Pleasant Run Rd,American
EVANS BAR B QUE SEAFOOD & CATFISH,1100 E Pleasant Run Rd #120,Barbecue
La cocinita,9415 S R L Thornton Fwy,Mexican
J's Crab N Wing,1109 E Pleasant Run Rd,Seafood
Wingstop,1445 W Pleasant Run Rd,Chicken Wings
McDonald's,150 N Beckley St,Fast Food
Beacon Cafe,730 Ferris Rd,Restaurant
Sonic Drive-In,8602 S Lancaster Rd,Fast Food
McDonald's,8333 S Lancaster Rd,Fast Food
Wing Street,1450 W Pleasant Run Rd,Takeout Restaurant
Mother Dear's Southern & Creole Cuisines,,Soul
Papa John's Pizza,1370 W Belt Line Rd #400,Pizza
Sonic Drive-In,1701 S Beckley Rd,Fast Food
J J's Chicken & Rice&Chinese wok,,Chicken
Taco Bell,8407 S Lancaster Rd,Fast Food
Pizza Hut,1450 W Pleasant Run Rd #102,Pizza
Peace. Love. & Eatz Smoothie Bar,324 E Belt Line Rd #205,Vegan
Gospel One Donuts,2286 W Pleasant Run Rd # 104,Restaurant
Shell,2625 N Dallas Ave,Restaurant
Long John Silver's,1308 E Pleasant Run Rd,Fast Food
Long John Silver's,Dallas,Fast Food
Cinemark Movies 14,Lancaster,Movie theater
Wendy's,Dallas,Fast Food
Waffle House,DeSoto,Breakfast
Shell shack,,Restaurant
WINGAROMA,Lancaster,Fast Food
The fry king,Lancaster,Restaurant
Mr T's Real Catfish & Burgers,Lancaster,Restaurant
Williams Chicken,DeSoto,Chicken
Rueozzo,Lancaster,Chicken
McDonald's,DeSoto,Fast Food
Kelg Kitchen,Dallas,Restaurant
Popeyes Louisiana Kitchen,DeSoto,Chicken
Country View Golf Course,Lancaster,Golf course
Wendy's,DeSoto,Fast Food
Taco Bueno,DeSoto,Fast Food
Lovin's Oven Bakery,Lancaster,Caterer
Golden Chick,DeSoto,American
Jack in the Box,Glenn Heights,Fast Food
Delightful Sweets,DeSoto,Bakery
Little Tokyo Restaurant,3901 W Arkansas Ln #103,Japanese
The Lonestar Burger Bar,110 Ovilla Rd #2a,Restaurant
Phat Matt's Hot Wings,7557 TX-342,Chicken Wings
Shells and Tails 2 Geaux,324 E Belt Line Rd,Seafood
Taco casa,8155 S R L Thornton Fwy,Fast Food
