name,address,type
Mission Historical Museum,900 Doherty Ave,History museum
The Bryan House,1113 E 2 Mile Line,Museum
"Granjeno Cemetary, Mission, Tx",Anzaldua Dr,Museum
National Butterfly Center,3333 Butterfly Park,Museum
Tom Landry Mural,100 E Tom Landry St,Museum
Mt Apartment,1501 E 24th St,Museum
International Museum of Art & Science,1900 W Nolana Ave,Museum
McAllen Heritage Center,301 S Main St,Museum
La Placita,308 S Main St,Museum
Old Hidalgo Pumphouse Museum and World Birding Center,902 S 2nd St,Museum
La Joya Museum,101 Michael St,Museum
