name,address,type
Ye Old Bookworm,Odessa,Used book store
U.T. Bookstore,Odessa,Book store
River of Hope,Odessa,Book store
Permian Basin Area-Wide Phone,Odessa,Book store
God's Learning Channel,Odessa,Book store
Camino Bookstore,Odessa,Book store
Jamie's Adult Bookstore,,Adult DVD store
Ave Maria Catholic Gifts-Books,Odessa,Gift shop
Barnes & Noble,Midland,Book store
Mardel Christian & Education,Midland,Christian book store
Midland College Bookstore,Midland,Book store
John's Book Store,Midland,Book store
Friends of Libraries and Literacy,Midland,Book store
Endless Horizons Discount,Odessa,Music store
"Christian Science Reading Room, Midland TX",Midland,Book store
EntertainMART,Midland,Book store
TOY LAND,Odessa,Toy store
Office Depot- Curbside Pickup Available,Odessa,Office supply store
Target,Odessa,Department store
Salvation Army Thrift Store,Odessa,Thrift store
At Home,Odessa,Home goods store
Vintage Deluxe,Odessa,Antique store
JOANN Fabrics and Crafts,Odessa,Fabric store
Michaels,Odessa,Craft store
Walmart Supercenter,Odessa,Department store
Catholic Charities Thrift Str,Odessa,Thrift store
Dollar Tree,Odessa,Dollar store
Dollar Tree,Odessa,Dollar store
Walmart Supercenter,Odessa,Department store
Petco - Curbside Pick-Up Now Available!,Odessa,Pet supply store
Family Dollar,Odessa,Dollar store
Rustic Windmill,Midland,Antique store
Service Office Supplies,Odessa,Office supply store
Big Lots,Odessa,Discount store
Family Dollar,Odessa,Dollar store
Dollar General,Odessa,Dollar store
The Ambry,Odessa,Metaphysical supply store
Tractor Supply Co.,Odessa,Home improvement store
Family Dollar,Odessa,Dollar store
Dollar General,Odessa,Dollar store
Family Dollar,Odessa,Dollar store
Dollar General,Odessa,Dollar store
Dollar General,Odessa,Dollar store
Dollar General,Odessa,Dollar store
Best Buy,Odessa,Music store
Dollar General,Odessa,Dollar store
Dollar General,Odessa,Dollar store
Dollar General,Odessa,Dollar store
Dollar General,Odessa,Dollar store
Dollar General,Odessa,Dollar store
Goodwill-West Texas,Odessa,Thrift store
Dollar General,Odessa,Dollar store
Dollar General,Odessa,Dollar store
Sam's Club,Odessa,Warehouse club
PetSmart,Odessa,Pet supply store
N-Tune Music and Sound,Odessa,Musical instrument rental service
Burkes Outlet,Odessa,Outlet store
SPENCER GIFTS,Odessa,Gift shop
Video Star. Mano Amiga,Odessa,Video store
Marshalls,Odessa,Department store
Maurices,2020 E 42nd St,Women's clothing store
The UPS Store,1359 W University Blvd Ste A,Shipping and mailing service
"Ferguson Bath, Kitchen & Lighting Gallery","6715, I-20BL",Bathroom supply store
Northern Tool + Equipment,"6151 E, TX-191",Tool store
Versona,6357 TX-191 Suite #8,Women's clothing store
Westlake Ace Hardware,4652 E University Blvd,Hardware store
La Botanica Espiritual,1103 S Dixie Blvd,Religious goods store
CVS Pharmacy,1230 E 8th St,Pharmacy
Purple rose providence thrift shop,3415 Brentwood Dr,Thrift store
The Swim Shop,1711 E 8th St,Swimming pool supply store
Dollar General,822 W 87th St,Dollar store
H-E-B,2501 W University Blvd,Grocery store
H-E-B,3801 E 42nd St,Grocery store
The Panther Den,1800 E 42nd St,Fashion accessories store
Tractor Supply Co.,"1511 West, I-20",Hardware store
Geek Squad,"6300 E, TX-191",Mobile phone repair shop
Office Depot Print & Copy Services,3915 E 42nd St,Copy shop
Walmart Photo Center,2450 NW Loop 338 State Rte W,Photo shop
Wayside Radiator Shop,1339 E 2nd St,Store
Walmart Auto Care Centers,4210 John Ben Shephe,Tire shop
Family Dollar,7523 W University Blvd,Dollar store
Stripes,807 FM 1936,Convenience store
Walmart Photo Center,4210 John Ben Shepperd Pkwy,Photo shop
Dollar General,7504 W University Blvd,Dollar store
Lithia Hyundai of Odessa,5000 John Ben Shepperd Pkwy,Hyundai dealer
Dollar General,7575 S Hwy 385 State Route,Dollar store
Cindie's - Midland,4610 N Garfield St,Lingerie store
Cameron,270 S Grandview Ave,Manufacturer
Wicced Sarah,,Musician
Odessa Country Club,"1, Fairway Dr",Country club
Astral Castle,10 Meta Dr,Game store
Walmart Pharmacy,2450 NW Loop 338 State Rte W,Pharmacy
Walmart Pharmacy,4210 John Ben Shepperd Pkwy,Pharmacy
Dollar General,241 N Knox Ave,Dollar store
Walmart Bakery,2450 NW Loop 338 State Rte W,Bakery
Family Dollar,2703 N Moss Ave,Dollar store
Walmart Vision & Glasses,4210 John Ben Shepperd Pkwy,Optician
Pilot Travel Center,3145 Meteor Crater Rd,Truck stop
Odessa College,201 W University Blvd,Community college
