name,address,type
Pody's BBQ,1330 S Cedar St,Barbecue
Alfredo's Restaurant,1002 S Cedar St,Mexican
La Nortena Tamale Factory,211 E 3rd St,Mexican
Abi's Kitchen,425 E 3rd St,Mexican
Cocina Salgado,922 S Cedar St,Mexican
Old Mill BBQ & Burritos,1318 S Eddy St,Barbecue
El Rodeo Restaurant,1501 S Cedar St,Mexican
Terrazas Restaurant,1300 S Eddy St,Mexican
Dairy Mart,920 W 3rd St,Hamburger
Bush's Chicken,924 S Eddy St,Fast Food
Golden Palace,707 S Cedar St,Chinese
All American Bar And Grill,125 S Oak St,Grill
VIP Sports Bar & Grill-pecos,1330 E 3rd St #3526,Restaurant
Dairy Queen Store,1226 S Eddy St,Fast Food
Happy Dragon,4002 S Cedar St,Chinese
Arti’s Italian Restaurant,214 S Oak St,Restaurant
Alpine Lodge,,Restaurant
Sonic Drive-In,5101 S Cedar St,Fast Food
The King Shark Seafood & Mexican Restaurant El Rey Tiburon,215 E 4th St,Seafood
Asian kitchen,1302 S Johnson St,Asian Fusion
Pecos Bakery,201-299 S Plum St,Restaurant
Burrito Depot,2340 S Bickley Ave,Burritos
La Bodega Express,505 W 3rd St,Mexican
Little Caesars Pizza,712 S Eddy St,Pizza
Dickey's Barbecue Pit,120 W Raul Florez Boulevard,Barbecue
America's Pizza Co LLC,524 S Cedar St,Pizza
Subway,"I-H 20 &, Sh17",Sandwich
Domino's Pizza,118 Raul Florez Blvd,Pizza Delivery
Panaderia Diana,701 W 3rd St,Restaurant
McDonald's,5202 US Hwy 285,Fast Food
Laredo Taco Company,,Tacos
KFC,5102 S Cedar St,Chicken
Pizza Hut,524 S Cedar St,Pizza
Subway,5202 S Cedar St,Sandwich
Paleteria Y Dulceria Muñoz,701 W 3rd St,Restaurant
Trailways Bar & Grill,"202, w 79772, 3122, W 3rd St",Bar
Super Pollo,1403 S Cedar St,Restaurant
Mexican tacos,1201 W 3rd St,Mexican
La Fiesta,1313 S Cedar St,Mexican
Chester's Chicken,100 US Hwy 285,Chicken
Permian Cafe Pecos,495 FM 1450,Restaurant
Dunkin',2500 S Bickley Ave,Coffee shop
El Burrito Loco,1600 W 3rd St,Restaurant
The Little Shark,1400 W 3rd St,Restaurant
Pho and Grill,317 W 3rd St,Restaurant
Burger King,105 Lincoln St,Fast Food
Rhondie Roux’s,US Hwy 285,Restaurant
El sahuaro los sonorenses,2299 Madera Rd,Restaurant
2 Javelinas Draft House,724 S Eddy St,Bar
Pop-a-Top Lounge,1826 W 3rd St,Lounge
Cotton Club Bar,2207 W 3rd St,Bar
Eagle Doughnuts,1420 S Eddy St,Dessert shop
Freddy's Ice House,2905 Tolivar St,Bar
Alicia's Headquarters,,Barbecue
Stripes,1219 S Cedar St,Convenience store
West of the Pecos Museum,120 E 1st St,Museum
PJ Fresh Marketplace,2500 S Bickley Ave,Cafe
Pecos Valley Country Club,80 Starley St,Country club
Six Gun Charlie's,6552 TX-17,Restaurant
Sook's Place,891 Rogers St,Hamburger
La Fiesta Mexican Restaurant,Pecos,Convenience store
Lazy S Sisters Chuckwagon & Catering,Toyah,Restaurant
Alicia's Headquarters,Pecos,Brunch
Best Western Plus Swiss Chalet Hotel & Suites,,3-star hotel
La Tienda Thriftway,Pecos,Grocery store
