name,address,type
Mamacita's Restaurant & Cantina,100 Plaza Dr #100,Mexican
Country kitchen,279 East Ovilla Road,American
Taste Of Miami Restaurant & Catering,205 S Main St #19-05,Caribbean
Snuffers,132 Ovilla Rd #5,American
Palio's Pizza Cafe Red Oak,102 East Ovilla Road Suite B1,Pizza
Junior's Barbeque,251 East Ovilla Road,Barbecue
Amaya's Bar & Grill,523 TX-342,Mexican
Dallas Tortilla & Tamale Factory,213 TX-342 #405,Mexican
Taqueria Zavala,241 East Ovilla Road,Mexican
Cancuns of Red Oak,273 East Ovilla Road,Mexican
Wall Chinese Cafe,111 East Ovilla Road,Chinese
Plato Loco Restaurant,2520 Ovilla Rd #500,Mexican
MrJims.Pizza Red Oak,205 S Main St,Pizza
RL Harris BBQ,305 S Interstate 35 East Service Rd,Barbecue
Randys Bar-B-Que,271 TX-342,Barbecue
Denny's,"408 N, S Interstate 35 East Service Rd",Diner
The Lonestar Burger Bar,110 Ovilla Rd #2a,Restaurant
3 Hermanos Taqueria #2,109 Ovilla Rd #300,Mexican
Gran Grans Catfish,205 S Main St #10-07,Soul
Chick-fil-A,200 Sharaf Ave,Restaurant
Sonic Drive-In,291 East Ovilla Road,Fast Food
Whataburger,101 Harris Ave,Restaurant
Pizza Hut,108 Ovilla Rd #100,Pizza
Snowflake Donuts Red Oak,"107 S, TX-342",Restaurant
Arby's,125 East Ovilla Road,Fast Food
Dairy Queen,S Interstate 35 East Service Rd,Fast Food
Pizza Inn Buffet,200 S I- 35 Service Rd,Pizza
Chicken Express,126 Ovilla Rd,Fast Food
Gran Gran's Catfish and Soul Food,205 S Main St #10-07,Soul
Whataburger,"121 South, TX-342",Restaurant
Moni's Pasta & Pizza,125 W Ovilla Rd,Pizza
Chipotle Mexican Grill,100 Sharaf Ave Suite 104,Mexican
Dough City Doughnuts & Ice Cream,,Restaurant
Pollo Regio,103 Harris Ave,Mexican
Taqueria H. Santoyo,108 East Ovilla Road Ste 3,Restaurant
Subway,307 East Ovilla Road Suite 700,Sandwich
Rockn' Rick's Gourmet Food Truck,2696 FM 983,Caterer
Subway,"100 Norton Ln I-35E At, Ovilla Rd",Sandwich
McDonald's,109 Harris Ave,Fast Food
Panda Express,102 Ovilla Rd,Chinese
Little Caesars Pizza,109 East Ovilla Road,Pizza
Taco Bell,"410 N I35, S Interstate 35 East Service Rd",Fast Food
Rice Box Express Glenn Heights,113 W Ovilla Rd,Chinese
Church's Chicken,100 Harris Ave,Chicken
Dickey's Barbecue Pit,502 N Interstate 35 Rd,Barbecue
Fuzzy's Taco Shop,"219 S, TX-342 Suite 140",Mexican
Taquria El Cheve,1521 FM664,Mexican
Rockett Cafe & Club,5790 FM813,Southern
Long John Silver's,410 N S Interstate 35 East Service Rd,Fast Food
Pizza inn,,Restaurant
Burger King,103 Ovilla Rd,Fast Food
RaceTrac,100 Ovilla Rd,Gas station
Tortillería El Racherito,"109 S, TX-342",Restaurant
Dough City Pizza+Burgers,"219 s, TX-342 suite 100",Restaurant
Rosario,,Restaurant
Domino's Pizza,106 East Ovilla Road,Pizza Delivery
Bear Creek Barbecue,1308 E Bear Creek Rd Ste 160,Barbecue
Shell,200 S I- 35 Service Rd,Restaurant
Red Oak Donuts Uptown,106 Ovilla Rd,Restaurant
Wingstop,102 East Ovilla Road #200,Chicken Wings
Sonic Drive-In,201 E Ovilla Rd,Fast Food
TIGER MART #12,100 Norton St,Gas station
Franks Holy Smoke BBQ,705 W Main St,Barbecue
Golden Chick,2887 W Ovilla Rd,American
Peace. Love. & Eatz Smoothie Bar,324 E Belt Line Rd #205,Vegan
Sonic Drive-In,1701 S Beckley Rd,Fast Food
Sonic Drive-In,2971 US-77 North,Fast Food
Branded Burger Co.,2801 N Hwy 77 Suite 150,Restaurant
Subway,109 W Ovilla Rd,Sandwich
Casserole Soul Cafe,133 Historic Town Square,Restaurant
Super Sliders Food Truck,,Restaurant
Jack in the Box,1703 S Beckley Rd,Fast Food
Whataburger,2965 N Hwy 77,Restaurant
KFC,143 East Ovilla Road,Chicken
