name,address,type
Casa De Adobe,101 N Avasolo St,Grill
Texas Cafe,517 E 2nd St,Restaurant
Chili's Grill & Bar,4805 US-83,Tex Mex
Okashi Sushi Bar & Seafood,4761 US-83 suite d,Sushi
Caro's Mexican Restaurant,607 W 2nd St,Mexican
Loros Taqueria,1638 W Main St,Mexican
Peter Piper Pizza,4526 US-83,Pizza
Wingstop,4570 E US Hwy 83 Ste 8,Chicken Wings
Jack in the Box,4600 E US Hwy 83,Fast Food
Pizza Hut,4300 E West Highway 83,Pizza
Pasadita Cafe,205 S Clay St,Mexican
Starr Barbecue,1300 W Main St,Barbecue
faby's ☕,101 S Britton Ave,Mexican
Denny's,"4756 E, US-83",Diner
Mr Pollo,"W, Hwy 83",Restaurant
El Jaripeo Tacos,1419 W Main St,Mexican
McDonald's,4290 E Expressway 83,Fast Food
Starlite Burger 6,1105 W Main St,Hamburger
Angry burgers,102 S Pete Diaz Jr,Hamburger
Cocina Mobil 2 Mexican,5109 E US Hwy 83,Mexican
Stars Drive-in,1203 E. Highway 93,Fast Food
Tako Hut,311 E Main St,Mexican
Whataburger,4143 E US Hwy 83 E,Restaurant
Tacos Aka,"121 N, Chapote St",Mexican
Taqueria Hidalgo,133 Santa Rosa Rd,Mexican
El Penko Viejo,700 N Flores St suite b,Restaurant
Taco Bell,"4147 East, US-83",Fast Food
Taqueria y Restaurante El Chaparral,5460 US-83,Mexican
Arcoiris Snow Cones,1150 W E US Hwy 83,Restaurant
Salad Place,2546 Central Palm Drive,Salad
Mari's Tacos,902 N Flores St,Mexican
Dairy Queen Store,1206 E Main St,Fast Food
The Cake Parlour Sweets & Eats,701 N Flores St,Restaurant
La Taqueria De Guanajuato,400 N Avasolo St,Restaurant
Church's Chicken,US Business Hwy 83 and Starr Plaza,Chicken
Tekilas Wings & More,411 E Main St,Grill
El Trolebus Raspas,,Fast Food
Burger King,4534 E US Hwy 83,Fast Food
Burger King,1100 E Main St,Fast Food
El Milagro Tortilla Factory,1203 W Main St,Mexican
Las Alitas Sports & Wings Rio,307 FM 3167,Restaurant
Little Caesars Pizza,110 Pete Diaz Ave,Pizza
KFC,4580 US-83,Chicken
410 Bistro,410 E Main St,Restaurant
Casita Restaurant,1605 W Main St,Restaurant
Meat Market & Taco Restaurant 20,5203 E Hinojosa St,Mexican
Ches Mexican Cuisine Bar & Grill,601 E Main St,Mexican
Rio Brewing Co,108 N Garza St,Coffee shop
MARISCOS EL VALLE,1202 US-83,Restaurant
Long John Silver's,"4580 East, US-83",Fast Food
The Salad Bowl,"E., 5422 US-83 Suite 1",Salad
Taqueria Chaparral,"5523 E, US-83",Mexican
Subway,307 N FM 3167 Suite E,Sandwich
Subway,4023 E West Highway 83 Suite 110,Sandwich
Ciro's Restaurant & Drive Thru,"W, 3791 Eisenhower Rd",Sandwich
La Reynera Bakery,4762 US-83,Restaurant
Cactus Restaurant,3239 West Highway 83,Mexican
Tacos Alex,499-401 E 4th St,Mexican
Tortilleria La Huaxteca,1201 US-83,Mexican
El Gallero Restaurant,4830 Embassy St,Mexican
Rhino Gone Crazy Wings & More,600 N Avasolo St,Chicken Wings
Domino's Pizza,4570 E US Hwy 83 Ste 21,Pizza Delivery
Cake Shoppe,4202 Old U.S. 83,Restaurant
Pino’s Pizza,401-02 E Main St,Pizza
Ultimate Hype Trampoline Park,"4574 E, US-83",Recreation center
Rio Fit Nutrition,1587 E Main St,Restaurant
Tj's Tacos and more.,1305e E San Benito,Restaurant
Taqueria Hidalgo Y Mas,"1110 E, US-83",Restaurant
Red Diamond Chinese Buffett,4760 US-83,Restaurant
PeRey's Pizza Restaurant,701 N Avasolo St,Restaurant
Marlin Mexican & Seafood Restaurant,2546 Central Palm Drive #111,Restaurant
MISUKI SUSHI (956)588-9108,1202 US-83,Restaurant
Misuki Sushi and More (956)588-9108,1202 W Main St,Restaurant
Santini's tacos & burgers,506 N San Antonio St,Mexican
CALIBRE BAR & GRILL,2546 Central Palm Drive,Restaurant
Carnes Asadas Don Chuy,1202 W Main St,Mexican
Laredo Taco Company,401 FM 3167 Road North,Restaurant
Laredo Taco Company,2798 West Highway 83,Restaurant
The chill grill,102 R Corona Sr Dr,Restaurant
Subway,990 US-83,Restaurant
Ricks taco,5131 E US Hwy 83,Restaurant
Fresh Salad Bowl,5422 E US Hwy 83,Salad
Roadside Grill,101 W Palma St,Diner
La Escondida Restaurant,5567 FM1430,Mexican
Restaurant Birds,,Restaurant
Gorditas Y Tacos La Jarochita,3652 US-83,Mexican
Buffet El Gallinero Restaurant,4554 US-83,Mexican
Norma's Restaurant,US-83,Mexican
Taqueria Los Tejanos,"3251 B, US-83",Restaurant
Tacos Aka#2,10 Alvarez Rd,Mexican
Laredo Taco Company,2525 N E US Hwy 83,Restaurant
La Hacienda Restaurant,US-83,Mexican
Mini Star,3695 US-83,Restaurant
Rio Kitchen,,Restaurant
Pithayas,1601 E US Hwy 83,Snack bar
Rio Cafe,607 N Flores St,Cafe
Tacos Nuno,2 Mascorro St,Tacos
Gloria's Tortilleria,3696 US-83,Restaurant
La Jungla Del Mono Drive Thru & Restaurant,99 Navajo Dr,Grocery store
El Puerto Express,3396 US-83,Restaurant
Subway,6580 Rio Panico St Suite 1,Sandwich
D' Rick's Breakfast Tacos,,Restaurant
Tacos AKA #3,6910 US-83,Mexican
The Goodie Factory,7035 US-83 B,Takeout Restaurant
Taqueria Pepe's,7268 US-83,Mexican
