name,address,type
Roma World Birding Center,Roma,Museum
Juárez Museum of Art,,Museum
Monumento a Benito Juarez,Ciudad Miguel Alemán,Museum
Kelsey Bass Museum,Rio Grande City,Museum
Tamul Los Guerra,,Museum
Bessie III Trolley Tour,Rio Grande City,Museum
Casa de la Cultura,Ciudad Mier,Museum
Museo De Camargo Tamaulipas,Ciudad Camargo,Museum
La casa de los fríjoles pintos,Ciudad Mier,Museum
Antifgua estacion ferroviaria de camargo,,Museum
Panteon Comales Se Reunen,,Museum
Rancho Las Chapanecas,,Museum
