name,address,type
San Juan Museum,"R200272, 411, Virgen de San Juan Blvd",Museum
Alamo Museum,130 S 8th St,Museum
Edinburg Scenic Wetlands and World Birding Center,E Sprague St,Museum
International Museum of Art & Science,1900 W Nolana Ave,Museum
Museum of South Texas History,200 N Closner Blvd,History museum
McAllen Heritage Center,301 S Main St,Museum
Donna Hooks Fletcher Museum,129 S 8th St,Museum
Tejano Walk of Fame,415 W McIntyre St,Open air museum
La Placita,308 S Main St,Museum
Old Hidalgo Pumphouse Museum and World Birding Center,902 S 2nd St,Museum
Handy Family Cemetery,,Museum
museum of art y science,1501 W U.S. Hwy 83 #104,Museum
Hidalgo City,211 E Esperanza Ave,Museum
1886 Hidalgo County Courthouse,,Museum
Gonzales Munoz Family Cemetery,R208744,Museum
"Granjeno Cemetary, Mission, Tx",Anzaldua Dr,Museum
The Bryan House,1113 E 2 Mile Line,Museum
Mt Apartment,1501 E 24th St,Museum
Roman aqueduct replica,2525 W Military Hwy,Museum
8-bit Labyrinth,9025 N Ware Rd,Technology museum
Museo Histórico Reynosa,,Museum
Juan escutia,Luis Echeverría SN,Museum
Casa de la Cultura de Reynosa,González SN,Museum
Plaza de la Republica,,Museum
Antiguedades Modulo 2000,29 de Marzo 121,Museum
La CabAÑA TigRE CULe,"88780, Carmina 453",Museum
