name,address,type
Gus',3503 Palmer Hwy,Steak
Gringo’s Mexican Kitchen,"10200 EF, Emmett F Lowry Expy",Tex Mex
Edo Japan,2028 9th Ave N #400,Restaurant
Taqueria & Restaurant Vallarta,2130 Palmer Hwy,Mexican
Qing Qing Chinese Restaurant,2815 Palmer Hwy,Chinese
Olive Garden Italian Restaurant,10212 Emmett F Lowry Expy,Italian
Terraza Mexican Bar & Grill,814 9th Ave N,Grill
Taqueria El Jaliciense,2013 10th Ave N,Mexican
Basil House,2820 Palmer Hwy,Thai
Beyond Burger,10510 Emmett F Lowry Expy,Hamburger
Grand Prize Barbeque,2223 Palmer Hwy,Barbecue
Downtown Diner,513 6th St N,Diner
Bases Hamburgers,925 21st St N,Fast Food
Boyd's Cajun Grill Express,227 Dike Road Building #2,Seafood
Iguanas Ranas Cantina,3121 Palmer Hwy,Mexican
Whataburger,2411 Palmer Hwy,Restaurant
Silvia's MEXICAN GRILL,1900 Texas Ave,Mexican
Stuttgarden Tavern,10000 Emmett F Lowry Expy Suite 1346,Beer Garden
Fortune Chinese Restaurant,3118 Palmer Hwy,Chinese
Nopalera Grill,1736 Texas Ave,Mexican
Pelican Breakfast & Lunch,3142 E NASA Pkwy,Breakfast
Gus',3503 Palmer Hwy,Steak
Gringo’s Mexican Kitchen,"10200 EF, Emmett F Lowry Expy",Tex Mex
Edo Japan,2028 9th Ave N #400,Restaurant
Taqueria & Restaurant Vallarta,2130 Palmer Hwy,Mexican
Qing Qing Chinese Restaurant,2815 Palmer Hwy,Chinese
Olive Garden Italian Restaurant,10212 Emmett F Lowry Expy,Italian
Terraza Mexican Bar & Grill,814 9th Ave N,Grill
Taqueria El Jaliciense,2013 10th Ave N,Mexican
Basil House,2820 Palmer Hwy,Thai
Beyond Burger,10510 Emmett F Lowry Expy,Hamburger
Grand Prize Barbeque,2223 Palmer Hwy,Barbecue
Downtown Diner,513 6th St N,Diner
Bases Hamburgers,925 21st St N,Fast Food
Taqueria La Hacienda,1139 Texas Ave,Mexican
Hey Mikey's Ice Cream,613 6th St N,Restaurant
Papa John's Pizza,3319 Palmer Hwy,Pizza
Taqueria Don Ruben,2425 Texas 146 Access Rd,Mexican
Hartz Chicken Buffet,2711 Palmer Hwy,Fast Food
Bronco Burritos Texas City,718 6th St N,Restaurant
Rosario's Pizza & Italian Restaurant,3202 13th Ave N,Italian
Luna's Mexican Restaurant,"Mainland Crossing, 9300 Emmett F Lowry Expy",Mexican
Johnny's Seafood Cafe,"8166, 2902 FM1765",Seafood
La Gardenia,210 6th St N,Mexican
Sinaloa's Mexican food,4518 FM1765,Mexican
Wrice BBQ,601 6th St N,Restaurant
The Reef Seafood House,1301 31st 1/2 St N,Seafood
Burger King,2520 Palmer Hwy,Fast Food
Topwater Grill,815 Avenue O,Seafood
Baytown Seafood Restaurant,3501A Palmer Hwy,Seafood
La Plaza Food,3120 FM1765,Mexican
Rigos Cafe,902 6th St N #6304,Diner
Mr Tamal Traditional Mexican Food,2502 Texas Ave,Mexican
Yummy Yummy,2310 FM 2004 Rd,Buffet
Antonini Subs,3509 Palmer Hwy,Sandwich
Denny's,1201 Hwy 146 N,Diner
Guic'd Jam Nutrition,10000 Emmett F Lowry Expy ste 4000-1b,Juice
Schlotzsky's,3325 Palmer Hwy Suite C,Sandwich
Popeyes Louisiana Kitchen,9802 FM1764,Chicken
La Michoacana Meat Market,2525 25th Ave N,Butcher shop
Chick-fil-A Texas City,3440 Palmer Hwy,Fast Food
Village Pizza & Seafood,1820 25th Ave N,Pizza
Mama Frances Soul Kitchen,199 Vauthier St unit d,Restaurant
Wendy's,2805 Palmer Hwy,Fast Food
Subway,430-A Hwy 146 North,Sandwich
Subway,2920 Palmer Hwy,Sandwich
Taco Bell,3531 Palmer Hwy,Fast Food
Popeyes Louisiana Kitchen,3315 Palmer Hwy,Chicken
Sonic Drive-In,3221 Palmer Hwy,Fast Food
Casa fiesta bar & grill,3121 Palmer Hwy,Restaurant
Little Caesars Pizza,917 20th St N,Pizza
Los Aztecas Bar & Grill,2525 Palmer Hwy,Bar
Mr Tamal Traditional Mexican Food,2502 Texas Ave,Mexican
Yummy Yummy,2310 FM 2004 Rd,Buffet
Jack in the Box,2101 9th Ave N,Fast Food
Kelley's Country Cooking,4604 Gulf Fwy,Family-friendly
