name,address,type
Designer Glitz & Glamour Spa and Hair Salon,Universal City,Beauty salon
Radiant Designs Hair Salon Llc,Universal City,Beauty salon
Styles Unlimited,Universal City,Beauty salon
Shear Envy,Universal City,Beauty salon
A New Look,Universal City,Beauty salon
Nene's Exotic Beauty Salon,Universal City,Beauty salon
Hair Island,Universal City,Beauty salon
Inner Image Beauty Salon,Universal City,Beauty salon
Tee Cee's Hair Studio,Universal City,Beauty salon
Fringe Hair Studio,,Beauty salon
Great Clips,Universal City,Beauty salon
KW Barber & Beauty,Universal City,Beauty salon
Paris Nail & Spa,Universal City,Nail salon
Absolute Bliss Salon & Retreat,Universal City,Beauty salon
Exceptio Nails,Universal City,Nail salon
A Greater Look,Universal City,Beauty salon
Sensational Hair,Universal City,Hair salon
Kitty Nails,Universal City,Nail salon
Melania Stylist,Universal City,Beauty salon
County Coconut Botique & Salin,Universal City,Beauty salon
Ocean Nails & Spa,Universal City,Nail salon
Meraki Studio Hair Designs,Universal City,Hair salon
Passions Nails Spa (20% Off Happy Hour By Appointment Only),Universal City,Nail salon
T nails & spa,Universal City,Nail salon
Nailed By Donna,Universal City,Nail salon
Blondes Brunettes & Redheads,Live Oak,Beauty salon
Xquisite Barber\Beauty,Universal City,Beauty salon
Barber Shop,Universal City,Hair salon
Abigails Shop,Universal City,Beauty salon
Supercuts,Universal City,Beauty salon
Daniel's Doll House,Universal City,Beauty salon
A New Image Salon: Hair By Angel Mercado,Universal City,Hair salon
Styles Selective,Universal City,Hair salon
Absolute Bliss Salon & Retreat,Live Oak,Beauty salon
Sensational Styles,Schertz,Beauty salon
Tutus & Tennis Shoes,Universal City,Beauty salon
5 Star Salon,Selma,Nail salon
Ciao Bella Studio,Selma,Beauty salon
Above & Beyond Hair Studio,Universal City,Hair salon
Juanita's Hairstyles & Cosmetics (Styles Unlimited),Universal City,Hair salon
Salons by JC Forum,14615 I-35 #130,Beauty salon
Salon Nails & Spa,Agora Pkwy,Beauty salon
Rios Golden Cut,2037 Universal City Blvd,Hair salon
Expression Nails,8242 Agora Pkwy,Nail salon
Kathy's Nails,8090 Pat Booker Rd,Nail salon
Judy's Loft Salon,2873 FM1518,Beauty salon
Clippers & Reality,110 E Wright Blvd,Beauty salon
Supercuts,8222 Agora Pkwy,Beauty salon
Arch 2 Arch,8282 Agora Pkwy #200,Beauty salon
Nails Care,8235 Agora Pkwy #131,Nail salon
DAMALIA HAIR,8088 Old Austin Rd unit 3 a,Beauty salon
Salon Gallerie Suites,"15069 Interstate 35 N Frontage Road, #212",Beauty salon
Hyaluronic Acid Serum,8235 Agora Pkwy,Beauty salon
Maven Hair Studio,15069 I-35 Frontage Rd,Beauty salon
Paintbox Salon,14615 Interstate 35 North Suite 7,Beauty salon
Flawless Spa Retreat of Distinction,117 E Wright Blvd,Facial spa
Electrolysis Center,902 Pat Booker Rd Ste E,Electrolysis hair removal service
Monik Hair Salon,15921 IH 35 N,Beauty salon
The Beauty Point Salon and Spa,12141 FM1518,Beauty salon
Cool Cuts 4 Kids,8222 Agora Pkwy Suite 108,Beauty salon
La Salon Riiko Nail and Hair Studio,923 N Loop 1604 E #112,Nail salon
Origin Hair Braiding,8316 FM78 #105,Hair salon
Salons by JC Forum,14615 I-35 #130,Beauty salon
Salon Nails & Spa,Agora Pkwy,Beauty salon
Rios Golden Cut,2037 Universal City Blvd,Hair salon
Expression Nails,8242 Agora Pkwy,Nail salon
Kathy's Nails,8090 Pat Booker Rd,Nail salon
Judy's Loft Salon,2873 FM1518,Beauty salon
Clippers & Reality,110 E Wright Blvd,Beauty salon
Supercuts,8222 Agora Pkwy,Beauty salon
Arch 2 Arch,8282 Agora Pkwy #200,Beauty salon
Nails Care,8235 Agora Pkwy #131,Nail salon
DAMALIA HAIR,8088 Old Austin Rd unit 3 a,Beauty salon
Salon Gallerie Suites,"15069 Interstate 35 N Frontage Road, #212",Beauty salon
Hyaluronic Acid Serum,8235 Agora Pkwy,Beauty salon
Maven Hair Studio,15069 I-35 Frontage Rd,Beauty salon
Paintbox Salon,14615 Interstate 35 North Suite 7,Beauty salon
Great Clips,7529 N Loop 1604 E Ste 108,Beauty salon
Simone's GlamArt Studio,1420 Schertz Pkwy #250,Beauty salon
City Of Hair,1209 Woodland Oaks Dr,Beauty salon
By Faith Studio Hair,14615 IH 35 N #130 Room 26,Beauty salon
European Wax Center,8235 Agora Pkwy,Waxing hair removal service
Hair Maddness,2027 Universal City Blvd,Hair salon
GGs Browtique,14615 I-35 Suite 30,Beauty salon
Express nails and waxing,12315 Judson Rd #300,Nail salon
TGF Hair Salon,5580 FM3009 #112,Beauty salon
Bella Donna Salon,"14615, 1 I-35 N Bldg 130 Ste",Hair salon
Dana's Golden Nails,1420 Schertz Pkwy,Nail salon
RDA Pro-Mart,2921 Pat Booker Rd #136,Beauty supply store
Jackie's Divine Stylism,,Beauty salon
Nail Art & Day Spa,17323 I-35 N #109,Nail salon
Sport Clips Haircuts of The Forum,8332 Agora Pkwy Suite 120,Hair salon
Fantastic Sams Cut & Color,17460 N Interstate 35 Frontage Rd #416,Hair salon
Glamour Up Salon & Spa,101 S Seguin Rd,Hair salon
Shear Madness,8106 Agora Pkwy #101,Hair salon
Carmen's European Hair Design,8088 Old Austin Rd,Hair salon
The Nails Lounge,6051 FM3009 #225,Nail salon
Ikandi Studio,,Beauty salon
SmartStyle Hair Salon,8315 FM78,Beauty salon
Heavenly Nails,6018 FM3009 #110,Nail salon
68 Nails And Spa,8316 FM78,Nail salon
Ann's Nails & Beauty,6032 FM3009 #150,Nail salon
The Loft for Hair and Nails,Schertz,Beauty salon
Anew Look Hair Salon,Schertz,Hair salon
Express nails and waxing,San Antonio,Nail salon
TGF Hair Salon,Schertz,Beauty salon
Bella Donna Salon,Selma,Hair salon
Dana's Golden Nails,Schertz,Nail salon
New Moon Spa Studio,Schertz,Spa
The Bloom Room Hair Salon,,Hair salon
Permanent Makeup,San Antonio,Beauty salon
Nail Foxy,San Antonio,Nail salon
The SALON by InStyle Inside JCPenney,San Antonio,Beauty salon
Cali Nails,San Antonio,Nail salon
Haircuts The Barber Shop,Universal City,Barber shop
Regal Nails,Converse,Nail salon
Hair By Loretta,Schertz,Hair salon
Anointed Cuts,Live Oak,Beauty salon
Sally Beauty Supply,Universal City,Beauty supply store
Origin Hair Braiding,Converse,Beauty salon
In Perfect Harmony Hair Studio,,Beauty salon
Hair By KS Beauty Shop,Schertz,Beauty salon
Kidz Kutz,Selma,Hair salon
Magic Fingers Manscape,Live Oak,Hair removal service
Nickie's Hair Studio,Selma,Hair salon
Awesome Nails & Spa,San Antonio,Nail salon
3009 Hair Lounge,Schertz,Hair salon
Trendique nails and spa,San Antonio,Nail salon
Planet Fitness,Universal City,Spa
CVS,Universal City,Cosmetics store
Beauty by the Blonde,,Beauty salon
Universal City Barber Shop,Universal City,Barber shop
Styles by Initia,Schertz,Hair salon
Smoother Operator,San Antonio,Waxing hair removal service
Sport Clips Haircuts of Schertz,Schertz,Hair salon
Massage Envy,Schertz,Massage spa
Supercuts,Cibolo,Beauty salon
Savvy Laser Hair Removal,San Antonio,Laser hair removal service
Star Barber Shop,Universal City,Barber shop
Watch Me Blinque Lash and Nail Bar,,Nail salon
Tracys Skin Bar,Selma,Facial spa
Divinity Massage & Oasis Spa,,Beauty salon
Kidz Kutz,Selma,Hair salon
Magic Fingers Manscape,Live Oak,Hair removal service
Nickie's Hair Studio,Selma,Hair salon
Awesome Nails & Spa,San Antonio,Nail salon
3009 Hair Lounge,Schertz,Hair salon
Trendique nails and spa,San Antonio,Nail salon
Planet Fitness,Universal City,Spa
CVS,Universal City,Cosmetics store
Beauty by the Blonde,,Beauty salon
Universal City Barber Shop,Universal City,Barber shop
Styles by Initia,Schertz,Hair salon
Smoother Operator,San Antonio,Waxing hair removal service
Sport Clips Haircuts of Schertz,Schertz,Hair salon
Massage Envy,Schertz,Massage spa
Supercuts,Cibolo,Beauty salon
Savvy Laser Hair Removal,San Antonio,Laser hair removal service
Star Barber Shop,Universal City,Barber shop
Watch Me Blinque Lash and Nail Bar,,Nail salon
Tracys Skin Bar,Selma,Facial spa
Divinity Massage & Oasis Spa,,Beauty salon
LZ SPA,Universal City,Massage spa
Solano’s Barber Studio,Universal City,Barber shop
Chateau Simoneaux,Garden Ridge,Hair salon
Bella's Hair Salon,San Antonio,Beauty salon
Autograph Kutz Barber Shop,Universal City,Barber shop
Healthy Pedi,,Nail salon
Hands N Harmony,Universal City,Wellness center
Foot Relax,Universal City,Massage therapist
Rosie's Place,Universal City,Barber shop
NDC Spa,Universal City,Massage therapist
Prickly Peach Wax Bar & Spa,Schertz,Waxing hair removal service
Jadelynn's Wigs (By appointment),Universal City,Wig shop
J DeMasters Beauty,,Beauty salon
Essential Massage Therapy by Hiromi,Selma,Massage therapist
Universal City - City Hall,Universal City,City government office
Kitty Hawk Event Center,Universal City,Event venue
Fresh Cutz,Converse,Barber shop
Arya Grove,Universal City,Apartment complex
"Your CBD Store - Universal City, TX",Universal City,Store
Universal City,,
Origin Hair Braiding,Converse,Hair salon
Lee Dental Centers,Universal City,Dentist
Tasha's Twist & Braids,,Hair salon
Hair by Diva,,Hairdresser
Knockouts Haircuts for Men Forums,Selma,Barber shop
Laser Hair Removal of New Braunfels,,Laser hair removal service
Designer Glitz & Glamour Salon and Spa Isom Road Location,San Antonio,Beauty salon
Walmart Pharmacy,Universal City,Pharmacy
Neha Noman | Makeup Artist & Esthetician,,Beauty salon
Mickey's Latin Hair Salon,San Antonio,Beauty salon
Barber Shop,Randolph AFB,Barber shop
Northeast Motor Co,2402 Pat Booker Rd,Car dealer
Family Dollar,926 Pat Booker Rd,Dollar store
Heroes & Fantasies,920 Pat Booker Rd,Comic book store
Peppermill Apartments,2125 Universal City Blvd,Apartment building
Pizza Hut,1530 Pat Booker Rd,Pizza
First Baptist Church of Universal City,1401 Pat Booker Rd,Baptist church
La Fiesta Patio Cafe,1421 Pat Booker Rd,Cafe
Retama Ranch Apartments,12900 E Loop 1604 N,Apartment complex
Walmart Supercenter,510 Kitty Hawk Rd,Department store
Popeyes Louisiana Kitchen,2980 Pat Booker Rd,Chicken
City of Universal City,2150 Universal City Blvd,City government office
WingIT ™,1645 Pat Booker Rd #101,Chicken Wings
Greener Grooming,Pat Booker Rd,Pet groomer
Victory Lane Automotive,264 Kitty Hawk Rd,Auto repair shop
The Colony Apartments,330 Kitty Hawk Rd,Apartment building
Ironwood Apartment Homes,1950 Universal City Blvd,Apartment rental agency
Mr. Gatti's Pizza,2921 Pat Booker Rd,Pizza
Randolph Main Exchange,"1068, 630 3rd St W",Department store
Bank of America (with Drive-thru ATM),3000 Pat Booker Rd,Bank
Alorica Universal City,2103 Universal City Blvd,Business management consultant
Amy's Hallmark Shop,934 Pat Booker Rd Randolph Plaza Shopping Center,Gift shop
H-E-B,910 Kitty Hawk Rd,Grocery store
Kawasaki of Universal City,1737 Pat Booker Rd,Kawasaki motorcycle dealer
O'Reilly Auto Parts,1501 Pat Booker Rd,Auto parts store
Rapid Fired Pizza,121 Pat Booker Rd,Pizza
The Barking Lot San Antonio,,Pet groomer
H-E-B Fuel,910 Kitty Hawk Rd,Gas station
Walmart Fuel Station,510 Kitty Hawk Rd,Gas station
Walmart Auto Care Centers,510 Kitty Hawk Rd,Tire shop
