name,address,type
Woodbridge Cafe,7340 TX-78 Suite 900,Restaurant
Ballard Street Cafe,112 N Ballard Ave,Breakfast
"Meteor Hamburgers Wylie, Tx",620 TX-78 #627,Hamburger
Country Club Cafe,2260 FM1378 #105,American
Villa Vinci,117 N Ballard Ave,Italian
El Flamboyan,3975 Parker Rd,Puerto Rican
La Joya Mexican Cocina,211 N Ballard Ave,Mexican
Loco Gringo Taco Shack,803 Woodbridge Pkwy,Restaurant
The Harbor House,2200 St Paul Rd,American
Chiloso Mexican Bistro,901 FM 544 #800,Mexican
Taco Delite,409 TX-78,Mexican
Cowboy Chicken,"3360‭ ‬W.‭, FM 544 ‬#950",Restaurant
Jhonny's Mexican Restaurant,3999 Parker Rd,Mexican
Rosa's Café & Tortilla Factory,3480 FM 544,Restaurant
The Rock Wood Fired Pizza,2600 FM 544,Restaurant
Del Golfo seafood restaurant,4014 Oak Rd,Seafood
Goodfella's Pizza & Subs,2260 Country Club Rd #107,Pizza
Bold BBQ Pit,114 N Ballard Ave,Barbecue
Napolis Restaurant,701 TX-78,Restaurant
Cheesesteak House,207 N Ballard Ave,Cheesesteaks
The Grill House,2014 TX-78,Restaurant
Woodbridge Cafe,7340 TX-78 Suite 900,Restaurant
Hook Line & Sinker,3103 Lemmon Ave E,Seafood
Dickey's Barbecue Pit,1301 Century Way,Barbecue
Marco's Pizza,"2041 N, TX-78 Suite 111",Pizza
IHOP,2592 FM 544,Restaurant
Chili's Grill & Bar,"1600 W, FM 544",Tex Mex
Wood And Time Smokehouse BBQ,400 TX-78,Barbecue
Pho Street Cafe,3483 FM 544 #110,Vietnamese
Soulman’s BBQ,2812 FM 544,Barbecue
Frankie's Mexican Cuisine,7218 TX-78,Mexican
"Tortilleria y Restaurant ""la yucateca""",701 TX-78 suite g,Mexican
Cotton Patch Cafe,"3300 West, FM 544",Restaurant
Gorditas La Rancherita,,Mexican
Sushi Box,430 TX-78 ste #130,Sushi
Rice Garden,805 Woodbridge Pkwy #300,Chinese
Dairy Queen Store,420 TX-78,Fast Food
Bandero’s Mexican Food,620 TX-78,Restaurant
Taqueria Reinita,3985 Old Parker Rd,Mexican
Woodbridge Cafe,7340 TX-78 Suite 900,Restaurant
Chick-fil-A,"400 S, TX-78",Fast Food
Big Daddy's Roadhouse BBQ,1000 TX-78,Barbecue
Cajun Donuts,1796 TX-78,Fast Food
Woodbridge Cafe,7340 TX-78 Suite 900,Restaurant
The Savannah at Gateway,401 Shiloh Rd,Apartment complex
Freddy's Frozen Custard & Steakburgers,2814 West FM 544,Hamburger
Josephine's Neighborhood Bistro,960 E Farm to Market Rd 544,Restaurant
Arby's,1706 FM 544,Fast Food
Fuzzy's Taco Shop,"1125 West, FM 544 #100",Mexican
Papa Murphy's | Take 'N' Bake Pizza,"901 West, FM 544 Suite 200",Pizza
MrJims.Pizza Wylie,"613 S, TX-78 #100",Pizza
Ming Moon Restaurant,"1125 West, FM 544",Asian
Ranch House- Sachse,7610 TX-78,Grill
